,cl_algo,mod_id,n_sg,n_g,sg_id,g_id,p_value
0,MCL,0,1,6,['TMSB4Y'],"['TERF1', 'EWSR1', 'POT1', 'ACTA1', 'TERF2IP', 'TMSB4Y']",0.1781653656293894
1,MCL,1,1,8,['SRY'],"['WDR5', 'SP1', 'AR', 'HDAC3', 'SRY', 'SMAD3', 'KPNB1', 'EP300']",0.0682098836503844
2,MCL,2,1,16,['DDX3Y'],"['MTF1', 'SMAD2', 'ODF2', 'POC1A', 'RPAP1', 'SAP25', 'NUDCD2', 'MCM2', 'ESR1', 'FBXO6', 'VHL', 'DDX3Y', 'SHBG', 'WWOX', 'CRY2', 'CCNB2']",0.0007178358102101995
3,MCL,3,1,11,['USP9Y'],"['ZNF331', 'VSX1', 'CLK3', 'NCKIPSD', 'HS2ST1', 'USP9Y', 'PMS1', 'AKT2', 'SHC1', 'SIRT1', 'UBC']",0.013930600075805086
4,MCL,4,1,6,['ZFY'],"['RNF2', 'ZBTB9', 'CACNB3', 'ZFX', 'NSD1', 'ZFY']",0.1781653656293894
5,MCL,5,2,20,"['RBMY1A1', 'RBMY1F']","['APOBEC3C', 'PRR3', 'CBX2', 'RBMY1F', 'YWHAE', 'RBMX', 'ZNF317', 'AEN', 'DAAM2', 'RASD1', 'FAM103A1', 'HNRNPK', 'PRPF31', 'ZNF385C', 'LNX1', 'YTHDC1', 'RBMY1A1', 'CIRBP', 'RBM3', 'PCDHB14']",0.0005532976241958245
6,MCL,6,2,10,"['RPS4Y2', 'RPS4Y1']","['CYLD', 'ICAM1', 'IGSF8', 'PRPS1', 'CSNK1E', 'RPS4Y1', 'ZNF746', 'CLK1', 'RPS4Y2', 'CD81']",0.10817906304541682
7,MCL,7,1,27,['TBL1Y'],"['CCT5', 'TUBA4A', 'TBL1X', 'NCOR2', 'CCT6B', 'TUBB8', 'CCT7', 'SUZ12', 'TBL1Y', 'GPS2', 'TAB1', 'TBL1XR1', 'CAPN15', 'LRIF1', 'FOXK2', 'DNAJB1', 'WDR36', 'CCT2', 'CCT6A', 'INTS6', 'MAP3K7', 'CCT4', 'TCP1', 'CHD8', 'DNAJB4', 'NCOR1', 'CCT3']",2.80978296177128e-07
