Query UniProt	Partner UniProt	Query Symbol	Partner Symbol
Q04724	Q04724	TLE1	TLE1
P78371	Q969R5	CCT2	L3MBTL2
P62995	Q9NQC7	TRA2B	CYLD
P68400	Q14781	CSNK2A1	CBX2
P05067	P25685	APP	DNAJB1
P17987	Q92526	TCP1	CCT6B
P38159	Q96PU8	RBMX	QKI
P54253	Q15038	ATXN1	DAZAP2
P10636	P27348	MAPT	YWHAQ
Q01844	Q99496	EWSR1	RNF2
P98175	Q14872	RBM10	MTF1
P48643	Q99496	CCT5	RNF2
O43896	P62258	KIF1C	YWHAE
Q01844	Q93062	EWSR1	RBPMS
P60033	P68366	CD81	TUBA4A
Q01167	Q12873	FOXK2	CHD3
P61978	Q9NYB0	HNRNPK	TERF2IP
P63104	Q14974	YWHAZ	KPNB1
P55010	P63104	EIF5	YWHAZ
P49761	P49761	CLK3	CLK3
O15379	Q9Y618	HDAC3	NCOR2
O75376	Q96EB6	NCOR1	SIRT1
P10275	Q9NYJ8	AR	TAB2
P49736	P84103	MCM2	SRSF3
P29353	P60033	SHC1	CD81
P38159	Q8TBB1	RBMX	LNX1
O43896	P63104	KIF1C	YWHAZ
Q99496	Q9BYE7	RNF2	PCGF6
P17987	Q96SW2	TCP1	CRBN
Q14839	Q15742	CHD4	NAB2
P63104	Q12824	YWHAZ	SMARCB1
P50991	Q8NBT0	CCT4	POC1A
P68133	P68133	ACTA1	ACTA1
Q8IWL3	Q8IYQ7	HSCB	THNSL1
P0CG48	Q16778	UBC	HIST2H2BE
P61964	Q9BYE7	WDR5	PCGF6
P40227	Q9BWH6	CCT6A	RPAP1
P54274	Q14974	TERF1	KPNB1
P03372	Q9NYJ8	ESR1	TAB2
Q9BPU6	Q9BPU6	DPYSL5	DPYSL5
P50991	Q969R5	CCT4	L3MBTL2
P68366	Q9NQC7	TUBA4A	CYLD
O00213	O00213	APBB1	APBB1
Q99832	Q9NZC7	CCT7	WWOX
O95067	P49736	CCNB2	MCM2
P0CG48	P25685	UBC	DNAJB1
P78371	Q8NBT0	CCT2	POC1A
P49761	P63104	CLK3	YWHAZ
P60033	Q16695	CD81	HIST3H3
P78371	Q9NZC7	CCT2	WWOX
O15379	P10275	HDAC3	AR
O75376	O75376	NCOR1	NCOR1
P12931	Q9NZC7	SRC	WWOX
P63167	P63167	DYNLL1	DYNLL1
P27348	Q13618	YWHAQ	CUL3
O43318	P63261	MAP3K7	ACTG1
P49770	Q9BYE7	EIF2B2	PCGF6
P05362	P0CG48	ICAM1	UBC
P00533	P10636	EGFR	MAPT
P61964	P78371	WDR5	CCT2
Q9NYJ8	Q9NYJ8	TAB2	TAB2
P40227	Q7Z6Z7	CCT6A	HUWE1
Q01167	Q14839	FOXK2	CHD4
P63104	Q7Z6Z7	YWHAZ	HUWE1
P17987	Q13618	TCP1	CUL3
P03372	P55317	ESR1	FOXA1
Q15022	Q96EP5	SUZ12	DAZAP1
Q14839	Q16695	CHD4	HIST3H3
P63104	Q05086	YWHAZ	UBE3A
Q92731	Q9Y618	ESR2	NCOR2
P05067	Q13618	APP	CUL3
P54277	Q9NQC7	PMS1	CYLD
P48643	Q13618	CCT5	CUL3
P00533	Q16695	EGFR	HIST3H3
P62995	Q01844	TRA2B	EWSR1
P63167	P63261	DYNLL1	ACTG1
P55317	Q5BJF6	FOXA1	ODF2
P08047	P12931	SP1	SRC
P0CG48	Q05639	UBC	EEF1A2
Q9Y4X5	Q9Y4X5	ARIH1	ARIH1
P08047	Q12873	SP1	CHD3
Q13526	Q9Y618	PIN1	NCOR2
P68400	Q9NZR4	CSNK2A1	VSX1
Q13618	Q9BTL3	CUL3	FAM103A1
P17987	P68366	TCP1	TUBA4A
O75376	Q9BZK7	NCOR1	TBL1XR1
P78371	Q13748	CCT2	TUBA3C
P0CG48	Q99496	UBC	RNF2
Q12824	Q9BZK7	SMARCB1	TBL1XR1
P00533	P68133	EGFR	ACTA1
O94888	P40337	UBXN7	VHL
P29353	P68133	SHC1	ACTA1
Q16777	Q9NZR4	HIST2H2AC	VSX1
O75376	P63104	NCOR1	YWHAZ
Q13748	Q15750	TUBA3C	TAB1
P61978	Q9NZC7	HNRNPK	WWOX
Q8WVJ2	Q9NUX5	NUDCD2	POT1
P0DP25	Q13618	CALM3	CUL3
P49736	Q16555	MCM2	DPYSL2
P0DP25	P49736	CALM3	MCM2
P84103	Q01844	SRSF3	EWSR1
P54274	Q99496	TERF1	RNF2
Q13618	Q16778	CUL3	HIST2H2BE
A0A1B0GUU1	Q8N9W6	C17orf113	BOLL
P05067	Q8IWL3	APP	HSCB
P41235	Q15022	HNF4A	SUZ12
P62258	Q9NRD1	YWHAE	FBXO6
P78362	Q13618	SRPK2	CUL3
P17987	P40337	TCP1	VHL
P49736	Q13748	MCM2	TUBA3C
P10636	Q15796	MAPT	SMAD2
O60841	P0DP25	EIF5B	CALM3
Q14781	Q16695	CBX2	HIST3H3
P68366	Q9NS73	TUBA4A	MBIP
P78362	P84103	SRPK2	SRSF3
P38159	Q14011	RBMX	CIRBP
P05067	Q99832	APP	CCT7
Q13619	Q9Y4X5	CUL4A	ARIH1
P68366	Q99832	TUBA4A	CCT7
P63104	Q09472	YWHAZ	EP300
P08047	Q9Y618	SP1	NCOR2
P68366	Q13619	TUBA4A	CUL4A
P68400	Q969P0	CSNK2A1	IGSF8
P40227	P55317	CCT6A	FOXA1
P00533	P0CG48	EGFR	UBC
P47813	P55010	EIF1AX	EIF5
P38159	P79522	RBMX	PRR3
P25685	P54274	DNAJB1	TERF1
P05067	P12931	APP	SRC
Q01844	Q01844	EWSR1	EWSR1
P08047	P63261	SP1	ACTG1
P63104	P78371	YWHAZ	CCT2
Q15796	Q92731	SMAD2	ESR2
O43318	Q96SW2	MAP3K7	CRBN
P05067	Q05086	APP	UBE3A
Q9NQC7	Q9NYJ8	CYLD	TAB2
O14964	O43865	HGS	AHCYL1
P0CG48	P12931	UBC	SRC
O15379	Q9NYJ8	HDAC3	TAB2
P62995	Q96MU7	TRA2B	YTHDC1
P61978	Q96EB6	HNRNPK	SIRT1
P62258	Q8IWZ3	YWHAE	ANKHD1
P46934	P61978	NEDD4	HNRNPK
P78371	Q7Z6Z7	CCT2	HUWE1
Q16778	Q9BZK7	HIST2H2BE	TBL1XR1
P62995	P84103	TRA2B	SRSF3
Q9NQC7	Q9NQC7	CYLD	CYLD
Q12824	Q9NS73	SMARCB1	MBIP
P55317	Q13242	FOXA1	SRSF9
P03372	Q14686	ESR1	NCOA6
Q8IWL3	Q8IWL3	HSCB	HSCB
P0DP25	P10275	CALM3	AR
P40227	Q969R5	CCT6A	L3MBTL2
O94888	P49674	UBXN7	CSNK1E
P34969	P68366	HTR7	TUBA4A
Q12873	Q13227	CHD3	GPS2
Q9NS73	Q9NS73	MBIP	MBIP
P54253	Q9Y618	ATXN1	NCOR2
P49736	Q01844	MCM2	EWSR1
P49759	Q96MU7	CLK1	YTHDC1
Q01167	Q01167	FOXK2	FOXK2
P05067	Q16777	APP	HIST2H2AC
P61964	Q9NYB0	WDR5	TERF2IP
P05067	P63104	APP	YWHAZ
P35813	P84022	PPM1A	SMAD3
P0DP25	Q7Z6Z7	CALM3	HUWE1
P38159	P49761	RBMX	CLK3
Q01167	Q9UPW6	FOXK2	SATB2
P38159	P68104	RBMX	EEF1A1
P08047	Q14872	SP1	MTF1
P04278	P68104	SHBG	EEF1A1
O15379	P41235	HDAC3	HNF4A
Q14974	Q96MU7	KPNB1	YTHDC1
P00533	P62258	EGFR	YWHAE
Q15022	Q9NZJ5	SUZ12	EIF2AK3
P12931	Q96MU7	SRC	YTHDC1
O15379	Q99832	HDAC3	CCT7
P38159	Q96MU7	RBMX	YTHDC1
O75376	Q01844	NCOR1	EWSR1
P38159	Q92731	RBMX	ESR2
P98179	Q13618	RBM3	CUL3
Q8WVJ2	Q96EB6	NUDCD2	SIRT1
P0CG48	P61978	UBC	HNRNPK
O94888	Q13618	UBXN7	CUL3
O60907	Q9BZK7	TBL1X	TBL1XR1
O60841	P00533	EIF5B	EGFR
O60841	Q15796	EIF5B	SMAD2
P38159	Q9NZC7	RBMX	WWOX
P10636	P63104	MAPT	YWHAZ
P0CG48	Q15038	UBC	DAZAP2
P12931	Q12824	SRC	SMARCB1
P08047	Q5BJF6	SP1	ODF2
P03372	Q14839	ESR1	CHD4
P03372	Q9UDY4	ESR1	DNAJB4
O75581	Q5S007	LRP6	LRRK2
O75603	Q93062	GCM2	RBPMS
P68366	Q15796	TUBA4A	SMAD2
Q09472	Q8N9N5	EP300	BANP
O75376	Q86Y13	NCOR1	DZIP3
O15379	P48643	HDAC3	CCT5
P52597	P63104	HNRNPF	YWHAZ
Q8TBB1	Q8TBB1	LNX1	LNX1
P40337	P47813	VHL	EIF1AX
Q04725	Q04725	TLE2	TLE2
Q01167	Q13227	FOXK2	GPS2
Q15276	Q15276	RABEP1	RABEP1
Q96EP5	Q99496	DAZAP1	RNF2
P27348	P84103	YWHAQ	SRSF3
P0CG48	Q13618	UBC	CUL3
P04278	P04278	SHBG	SHBG
Q9NYB0	Q9NZT2	TERF2IP	OGFR
Q09472	Q15796	EP300	SMAD2
O15379	Q15022	HDAC3	SUZ12
P05067	P49761	APP	CLK3
Q12873	Q14974	CHD3	KPNB1
P61978	P68366	HNRNPK	TUBA4A
P84022	Q9UDY4	SMAD3	DNAJB4
O75808	P0CG48	CAPN15	UBC
Q8WTP8	Q96PQ6	AEN	ZNF317
P49770	P55010	EIF2B2	EIF5
O75525	P38159	KHDRBS3	RBMX
P48643	P49368	CCT5	CCT3
P29353	Q8WWY3	SHC1	PRPF31
Q15796	Q7Z6Z7	SMAD2	HUWE1
P54253	Q93062	ATXN1	RBPMS
P0CG48	Q9NYJ8	UBC	TAB2
O75376	Q92731	NCOR1	ESR2
P00533	Q01844	EGFR	EWSR1
P12931	P68133	SRC	ACTA1
P40227	Q92731	CCT6A	ESR2
Q8NI36	Q99496	WDR36	RNF2
O43318	Q15796	MAP3K7	SMAD2
Q05639	Q13618	EEF1A2	CUL3
P49674	P49674	CSNK1E	CSNK1E
P25685	Q9UDY4	DNAJB1	DNAJB4
P08047	P40337	SP1	VHL
P84022	Q9HCK8	SMAD3	CHD8
Q8NBT0	Q99832	POC1A	CCT7
P05362	P68400	ICAM1	CSNK2A1
P50991	Q49AN0	CCT4	CRY2
P03372	Q01844	ESR1	EWSR1
P25685	Q9Y266	DNAJB1	NUDC
P05067	P49770	APP	EIF2B2
P40227	Q9NRD1	CCT6A	FBXO6
P0DP25	Q5S007	CALM3	LRRK2
Q9NZC7	Q9NZC7	WWOX	WWOX
P49736	P63104	MCM2	YWHAZ
P05067	Q8IYY4	APP	DZIP1L
Q15018	Q7Z6Z7	ABRAXAS2	HUWE1
P60891	Q9NRD1	PRPS1	FBXO6
O60907	Q12824	TBL1X	SMARCB1
P49736	Q9NRW3	MCM2	APOBEC3C
Q15022	Q96EB6	SUZ12	SIRT1
Q13227	Q13227	GPS2	GPS2
P49736	P78371	MCM2	CCT2
P12004	Q9NRD1	PCNA	FBXO6
P27348	Q5S007	YWHAQ	LRRK2
Q9BWH6	Q9NZI8	RPAP1	IGF2BP1
P68104	Q49AN0	EEF1A1	CRY2
P49736	Q05639	MCM2	EEF1A2
P0CG48	Q09472	UBC	EP300
O75525	Q96MU7	KHDRBS3	YTHDC1
P62258	Q49AN0	YWHAE	CRY2
Q7Z6Z7	Q9Y266	HUWE1	NUDC
P08047	P41235	SP1	HNF4A
P54274	Q9NZT2	TERF1	OGFR
P98175	Q7Z6Z7	RBM10	HUWE1
P03372	P78371	ESR1	CCT2
Q13748	Q9NYJ8	TUBA3C	TAB2
P62258	Q05086	YWHAE	UBE3A
P84022	Q14974	SMAD3	KPNB1
P48643	Q92526	CCT5	CCT6B
Q8WWY3	Q8WWY3	PRPF31	PRPF31
P03372	Q99832	ESR1	CCT7
P61978	Q9Y272	HNRNPK	RASD1
P84022	P84022	SMAD3	SMAD3
P68104	P68104	EEF1A1	EEF1A1
Q8NBT0	Q9Y266	POC1A	NUDC
P29353	P63261	SHC1	ACTG1
P27348	P27348	YWHAQ	YWHAQ
P03372	Q14011	ESR1	CIRBP
Q12873	Q12873	CHD3	CHD3
Q92526	Q99832	CCT6B	CCT7
P63261	Q9NRD1	ACTG1	FBXO6
P03372	P61964	ESR1	WDR5
P62258	P62258	YWHAE	YWHAE
P49736	Q16778	MCM2	HIST2H2BE
Q14781	Q99496	CBX2	RNF2
O43865	Q96HN2	AHCYL1	AHCYL2
P61978	P78362	HNRNPK	SRPK2
P62258	Q9Y618	YWHAE	NCOR2
Q14686	Q9Y618	NCOA6	NCOR2
P05362	P61978	ICAM1	HNRNPK
P61964	Q13619	WDR5	CUL4A
P84022	Q93062	SMAD3	RBPMS
P03372	P38159	ESR1	RBMX
Q13242	Q15022	SRSF9	SUZ12
P46934	P49761	NEDD4	CLK3
P55317	Q9UPW6	FOXA1	SATB2
P62258	Q05639	YWHAE	EEF1A2
O60907	Q9NYJ8	TBL1X	TAB2
O43318	O43318	MAP3K7	MAP3K7
P0CG48	P49736	UBC	MCM2
P78371	Q92526	CCT2	CCT6B
P38159	P78362	RBMX	SRPK2
P49368	P49736	CCT3	MCM2
P03372	Q01167	ESR1	FOXK2
Q8WTP8	Q8WTP8	AEN	AEN
Q13618	Q13619	CUL3	CUL4A
Q16695	Q6NUN9	HIST3H3	ZNF746
Q05086	Q92731	UBE3A	ESR2
Q09472	Q09472	EP300	EP300
Q9UDY4	Q9Y266	DNAJB4	NUDC
O60674	P40337	JAK2	VHL
O95067	Q09472	CCNB2	EP300
P10636	P12931	MAPT	SRC
Q13619	Q96SW2	CUL4A	CRBN
P63104	P68104	YWHAZ	EEF1A1
P38159	P52597	RBMX	HNRNPF
P61964	Q8WWY3	WDR5	PRPF31
P62805	Q9NQC7	HIST1H4A	CYLD
Q01844	Q13242	EWSR1	SRSF9
P10275	P27348	AR	YWHAQ
P27348	Q9NQC7	YWHAQ	CYLD
P41235	Q96EB6	HNF4A	SIRT1
Q9Y618	Q9Y618	NCOR2	NCOR2
Q04724	Q15022	TLE1	SUZ12
P29353	P40227	SHC1	CCT6A
P68104	Q13619	EEF1A1	CUL4A
A0A1B0GUU1	Q93062	C17orf113	RBPMS
P84103	Q9NZC7	SRSF3	WWOX
O43896	P68400	KIF1C	CSNK2A1
P12931	P68400	SRC	CSNK2A1
P27348	Q13748	YWHAQ	TUBA3C
Q13242	Q13618	SRSF9	CUL3
P61964	Q5S007	WDR5	LRRK2
O14964	P61978	HGS	HNRNPK
P63167	Q13748	DYNLL1	TUBA3C
Q16695	Q96EB6	HIST3H3	SIRT1
P61978	Q8WWY3	HNRNPK	PRPF31
P03372	P84022	ESR1	SMAD3
O15379	O15379	HDAC3	HDAC3
P12931	P29353	SRC	SHC1
P63104	Q01844	YWHAZ	EWSR1
P38159	P49736	RBMX	MCM2
O00213	P54253	APBB1	ATXN1
P78371	Q9NQC7	CCT2	CYLD
P31751	P40337	AKT2	VHL
P49368	Q92526	CCT3	CCT6B
P0DP25	Q9NS73	CALM3	MBIP
P17987	Q9BYE7	TCP1	PCGF6
Q8N9N5	Q96HN2	BANP	AHCYL2
P05067	P62805	APP	HIST1H4A
P62805	Q9NRD1	HIST1H4A	FBXO6
P60033	Q01844	CD81	EWSR1
O14964	P00533	HGS	EGFR
P49736	P68104	MCM2	EEF1A1
P25685	Q01844	DNAJB1	EWSR1
P00533	P46934	EGFR	NEDD4
P54274	Q8WVJ2	TERF1	NUDCD2
O75603	O75603	GCM2	GCM2
P54274	Q9NYB0	TERF1	TERF2IP
A0AV96	Q92731	RBM47	ESR2
Q93062	Q96PU8	RBPMS	QKI
P49368	P61964	CCT3	WDR5
P49736	P49736	MCM2	MCM2
P0CG48	P78371	UBC	CCT2
P55317	Q16695	FOXA1	HIST3H3
P38159	Q13618	RBMX	CUL3
P52597	P61978	HNRNPF	HNRNPK
P49770	P63241	EIF2B2	EIF5A
P63104	Q9NZC7	YWHAZ	WWOX
P27348	Q92731	YWHAQ	ESR2
P03372	Q7Z6Z7	ESR1	HUWE1
P31751	Q5S007	AKT2	LRRK2
P54253	Q9NWB1	ATXN1	RBFOX1
Q13526	Q96EP5	PIN1	DAZAP1
P17987	Q9NRD1	TCP1	FBXO6
P0CG48	Q14974	UBC	KPNB1
Q16695	Q969P0	HIST3H3	IGSF8
Q8WWY3	Q9NZC7	PRPF31	WWOX
P0CG48	P49674	UBC	CSNK1E
Q12873	Q96EB6	CHD3	SIRT1
Q99496	Q9NZT2	RNF2	OGFR
P62805	Q16695	HIST1H4A	HIST3H3
O60907	Q13227	TBL1X	GPS2
Q01167	Q9NZJ5	FOXK2	EIF2AK3
P17987	P48643	TCP1	CCT5
P03372	P63104	ESR1	YWHAZ
O75525	P61978	KHDRBS3	HNRNPK
P04278	Q9NRW3	SHBG	APOBEC3C
P62258	P98175	YWHAE	RBM10
P49368	P60033	CCT3	CD81
P62258	P98179	YWHAE	RBM3
P52597	Q6NUN9	HNRNPF	ZNF746
P03372	P49368	ESR1	CCT3
Q05086	Q13242	UBE3A	SRSF9
P32119	Q96EP5	PRDX2	DAZAP1
Q8TB72	Q8TB72	PUM2	PUM2
P63167	P68104	DYNLL1	EEF1A1
B4DH63	Q93062	cDNA FLJ58101, highly similar to F-box/LRR-repeat protein 18	RBPMS
P62805	Q04724	HIST1H4A	TLE1
P61978	Q96MU7	HNRNPK	YTHDC1
P32119	P49736	PRDX2	MCM2
Q09472	Q96EB6	EP300	SIRT1
P10636	Q01844	MAPT	EWSR1
P17987	Q6NUN9	TCP1	ZNF746
Q6NUN9	Q9NZI8	ZNF746	IGF2BP1
P40337	P48643	VHL	CCT5
P50991	P61964	CCT4	WDR5
P00533	Q9NRD1	EGFR	FBXO6
O15379	Q04724	HDAC3	TLE1
P05067	P84103	APP	SRSF3
P49761	Q96EB6	CLK3	SIRT1
P61978	P84103	HNRNPK	SRSF3
Q5BJF6	Q9NQC7	ODF2	CYLD
Q13526	Q93062	PIN1	RBPMS
Q13618	Q6TFL4	CUL3	KLHL24
Q12873	Q5T3J3	CHD3	LRIF1
P50991	Q9BYE7	CCT4	PCGF6
P0CG48	Q14686	UBC	NCOA6
P27348	P52597	YWHAQ	HNRNPF
P50991	Q13618	CCT4	CUL3
P61978	Q96PU8	HNRNPK	QKI
P49736	P62258	MCM2	YWHAE
P54253	Q2TAL8	ATXN1	QRICH1
P62995	Q13242	TRA2B	SRSF9
P0CG48	Q15276	UBC	RABEP1
O15379	P68400	HDAC3	CSNK2A1
P17987	P78371	TCP1	CCT2
P40337	P40337	VHL	VHL
P00533	P61978	EGFR	HNRNPK
P98175	Q9NRD1	RBM10	FBXO6
P63104	Q9NRD1	YWHAZ	FBXO6
P12931	P62258	SRC	YWHAE
P54277	Q13618	PMS1	CUL3
P12931	Q96KB5	SRC	PBK
P68104	Q05639	EEF1A1	EEF1A2
P98175	P98175	RBM10	RBM10
P63104	Q13227	YWHAZ	GPS2
P49759	P49759	CLK1	CLK1
P63261	P68104	ACTG1	EEF1A1
P0CG48	P10636	UBC	MAPT
P12931	Q09472	SRC	EP300
Q16695	Q5T3J3	HIST3H3	LRIF1
Q05086	Q05086	UBE3A	UBE3A
Q15742	Q93062	NAB2	RBPMS
P05067	P49674	APP	CSNK1E
P54253	Q49AN0	ATXN1	CRY2
O60674	P00533	JAK2	EGFR
O43318	P62258	MAP3K7	YWHAE
Q04725	Q13619	TLE2	CUL4A
P03372	P12931	ESR1	SRC
P50991	P60033	CCT4	CD81
P49736	Q13619	MCM2	CUL4A
P05067	P31751	APP	AKT2
P63104	P63104	YWHAZ	YWHAZ
Q9NUX5	Q9NYB0	POT1	TERF2IP
P29353	P32119	SHC1	PRDX2
O94888	P0CG48	UBXN7	UBC
P0CG48	P28331	UBC	NDUFS1
P50991	Q92526	CCT4	CCT6B
P84022	Q15599	SMAD3	SLC9A3R2
P63261	Q05639	ACTG1	EEF1A2
O43896	O43896	KIF1C	KIF1C
Q49AN0	Q49AN0	CRY2	CRY2
P32119	Q9NQC7	PRDX2	CYLD
O60841	P47813	EIF5B	EIF1AX
O95067	P78371	CCNB2	CCT2
P17987	P84022	TCP1	SMAD3
P17987	Q92731	TCP1	ESR2
Q5T3J3	Q9NZQ3	LRIF1	NCKIPSD
O75376	P49759	NCOR1	CLK1
A0A1B0GUU1	P61978	C17orf113	HNRNPK
P48643	Q5S007	CCT5	LRRK2
P0CG48	Q15018	UBC	ABRAXAS2
P63241	Q7Z6Z7	EIF5A	HUWE1
Q99832	Q9BYE7	CCT7	PCGF6
P32119	Q01844	PRDX2	EWSR1
O43318	P49736	MAP3K7	MCM2
P32119	P55317	PRDX2	FOXA1
Q09472	Q13526	EP300	PIN1
Q92731	Q99832	ESR2	CCT7
P62258	Q9NUX5	YWHAE	POT1
P03372	P49736	ESR1	MCM2
Q13526	Q5T3J3	PIN1	LRIF1
O43865	P78362	AHCYL1	SRPK2
P27348	P61978	YWHAQ	HNRNPK
P38159	Q6NUN9	RBMX	ZNF746
P05067	P78362	APP	SRPK2
P00533	Q92904	EGFR	DAZL
P49368	P50991	CCT3	CCT4
Q09472	Q92731	EP300	ESR2
P78362	Q15276	SRPK2	RABEP1
P98175	Q92731	RBM10	ESR2
P49736	P63241	MCM2	EIF5A
P00533	P29353	EGFR	SHC1
O14964	O43318	HGS	MAP3K7
P12004	Q13618	PCNA	CUL3
P61978	P98179	HNRNPK	RBM3
P52597	Q9NZC7	HNRNPF	WWOX
P40337	P68400	VHL	CSNK2A1
P62805	Q14872	HIST1H4A	MTF1
P38159	Q14872	RBMX	MTF1
P48643	Q8NBT0	CCT5	POC1A
P50991	P78371	CCT4	CCT2
P49368	Q969R5	CCT3	L3MBTL2
P10636	P10636	MAPT	MAPT
P63104	Q5S007	YWHAZ	LRRK2
P38159	Q99496	RBMX	RNF2
Q15038	Q92904	DAZAP2	DAZL
P00533	P68400	EGFR	CSNK2A1
Q93062	Q96SW2	RBPMS	CRBN
P03372	P32119	ESR1	PRDX2
O43318	Q15038	MAP3K7	DAZAP2
P17010	Q8IWL3	ZFX	HSCB
P40227	P63104	CCT6A	YWHAZ
P62258	Q7Z6Z7	YWHAE	HUWE1
P0CG48	Q13748	UBC	TUBA3C
P34969	Q16695	HTR7	HIST3H3
P10275	Q96EB6	AR	SIRT1
P78362	Q01167	SRPK2	FOXK2
P40227	Q15796	CCT6A	SMAD2
Q06609	Q06609	RAD51	RAD51
O15379	Q12873	HDAC3	CHD3
P78362	Q13242	SRPK2	SRSF9
O43318	P49674	MAP3K7	CSNK1E
P38159	Q9BTL3	RBMX	FAM103A1
P03372	P78362	ESR1	SRPK2
Q13526	Q96C00	PIN1	ZBTB9
P41235	P41235	HNF4A	HNF4A
P34969	Q13618	HTR7	CUL3
P48643	Q13619	CCT5	CUL4A
Q14839	Q9BZK7	CHD4	TBL1XR1
Q14839	Q14872	CHD4	MTF1
O60674	Q14974	JAK2	KPNB1
P12931	Q92731	SRC	ESR2
P05067	Q9NYJ8	APP	TAB2
Q8N9N5	Q9NYB0	BANP	TERF2IP
P62258	P63104	YWHAE	YWHAZ
P49736	Q7Z6Z7	MCM2	HUWE1
P78371	Q9NRD1	CCT2	FBXO6
P17987	Q8NBT0	TCP1	POC1A
P27348	P62258	YWHAQ	YWHAE
Q09472	Q9Y618	EP300	NCOR2
P40227	Q8NBT0	CCT6A	POC1A
P0CG48	P68133	UBC	ACTA1
Q13227	Q9BZK7	GPS2	TBL1XR1
P49368	P78371	CCT3	CCT2
Q13619	Q9NXF7	CUL4A	DCAF16
Q01167	Q96MU7	FOXK2	YTHDC1
O75376	Q12824	NCOR1	SMARCB1
P49736	P98179	MCM2	RBM3
P78371	Q99832	CCT2	CCT7
O15379	P62258	HDAC3	YWHAE
P03372	Q5T3J3	ESR1	LRIF1
O43865	O43865	AHCYL1	AHCYL1
P61978	P98175	HNRNPK	RBM10
P05362	P50991	ICAM1	CCT4
P49368	Q9BYE7	CCT3	PCGF6
P29353	Q13526	SHC1	PIN1
P10636	P68366	MAPT	TUBA4A
O60907	Q9Y618	TBL1X	NCOR2
Q15022	Q15022	SUZ12	SUZ12
P40227	Q49AN0	CCT6A	CRY2
P28331	P49736	NDUFS1	MCM2
P49761	Q96MU7	CLK3	YTHDC1
P12931	P78362	SRC	SRPK2
P05067	Q7LGA3	APP	HS2ST1
P12004	Q9NQC7	PCNA	CYLD
P10636	P68400	MAPT	CSNK2A1
P10275	P29353	AR	SHC1
P61978	Q96SW2	HNRNPK	CRBN
P55010	Q14839	EIF5	CHD4
P0CG48	P98179	UBC	RBM3
P0CG48	Q7Z6Z7	UBC	HUWE1
P62805	P62805	HIST1H4A	HIST1H4A
P55010	P61978	EIF5	HNRNPK
P48643	P68133	CCT5	ACTA1
P49736	Q99832	MCM2	CCT7
P49368	P98179	CCT3	RBM3
Q8NI36	Q9Y266	WDR36	NUDC
P38159	P68400	RBMX	CSNK2A1
P68104	P98179	EEF1A1	RBM3
P49736	P63261	MCM2	ACTG1
O00213	Q9BYE7	APBB1	PCGF6
O75376	P10275	NCOR1	AR
O15379	O75496	HDAC3	GMNN
P00533	P05362	EGFR	ICAM1
P17987	P63104	TCP1	YWHAZ
P61964	Q16695	WDR5	HIST3H3
O75496	Q01844	GMNN	EWSR1
P49736	P61978	MCM2	HNRNPK
P10275	Q99496	AR	RNF2
P46934	P46934	NEDD4	NEDD4
P62995	P78362	TRA2B	SRPK2
P62805	Q13618	HIST1H4A	CUL3
P49761	P78362	CLK3	SRPK2
P62995	P63104	TRA2B	YWHAZ
P05067	P84022	APP	SMAD3
P38159	P62995	RBMX	TRA2B
P54253	P62258	ATXN1	YWHAE
P27348	P29353	YWHAQ	SHC1
P61964	P62805	WDR5	HIST1H4A
O75376	Q13227	NCOR1	GPS2
Q09472	Q16695	EP300	HIST3H3
P84103	Q99496	SRSF3	RNF2
P25685	Q13618	DNAJB1	CUL3
P0DP25	P68400	CALM3	CSNK2A1
P48643	Q96SW2	CCT5	CRBN
P48643	Q49AN0	CCT5	CRY2
O75525	Q8TBB1	KHDRBS3	LNX1
P03372	P03372	ESR1	ESR1
P68400	Q9NZC7	CSNK2A1	WWOX
P0DP25	P62258	CALM3	YWHAE
P50991	P63104	CCT4	YWHAZ
P48643	Q969R5	CCT5	L3MBTL2
Q16695	Q99496	HIST3H3	RNF2
P10275	P40337	AR	VHL
P27348	P62805	YWHAQ	HIST1H4A
P0CG48	Q15750	UBC	TAB1
Q7Z6Z7	Q99832	HUWE1	CCT7
Q01167	Q96HN2	FOXK2	AHCYL2
P35813	Q9NQC7	PPM1A	CYLD
Q05639	Q5S007	EEF1A2	LRRK2
P05067	P68400	APP	CSNK2A1
Q92904	Q92904	DAZL	DAZL
P49368	Q6NUN9	CCT3	ZNF746
P12931	P46934	SRC	NEDD4
P40337	P68366	VHL	TUBA4A
P27348	P49736	YWHAQ	MCM2
P10275	Q9BZK7	AR	TBL1XR1
Q9NYB0	Q9NYB0	TERF2IP	TERF2IP
Q13619	Q13619	CUL4A	CUL4A
P52597	P52597	HNRNPF	HNRNPF
Q96PU8	Q9NZI8	QKI	IGF2BP1
P55317	Q14686	FOXA1	NCOA6
P00533	P49642	EGFR	PRIM1
P49736	P68400	MCM2	CSNK2A1
P48643	P78371	CCT5	CCT2
O15379	P12931	HDAC3	SRC
P61964	Q14686	WDR5	NCOA6
P60033	P60033	CD81	CD81
P40227	Q9BYE7	CCT6A	PCGF6
Q01844	Q96EB6	EWSR1	SIRT1
Q01844	Q09472	EWSR1	EP300
P40337	Q13526	VHL	PIN1
O14964	P46934	HGS	NEDD4
P62258	P62805	YWHAE	HIST1H4A
P84103	Q9NQC7	SRSF3	CYLD
