Query UniProt	Partner UniProt	Query Symbol	Partner Symbol
Q15415	Q8WWY3	RBMY1F	PRPF31
Q15415	P61978	RBMY1F	HNRNPK
Q15415	Q9BTL3	RBMY1F	FAM103A1
Q15415	P98179	RBMY1F	RBM3
Q15415	Q14781	RBMY1F	CBX2
Q15415	Q8WTP8	RBMY1F	AEN
Q15415	P38159	RBMY1F	RBMX
P22090	P0DP25	RPS4Y1	CALM3
P22090	Q99496	RPS4Y1	RNF2
P22090	Q5S007	RPS4Y1	LRRK2
P22090	P60033	RPS4Y1	CD81
P22090	Q9NQC7	RPS4Y1	CYLD
P22090	Q6NUN9	RPS4Y1	ZNF746
P22090	P05362	RPS4Y1	ICAM1
P22090	P34969	RPS4Y1	HTR7
P22090	Q969P0	RPS4Y1	IGSF8
P22090	P49759	RPS4Y1	CLK1
P22090	Q92731	RPS4Y1	ESR2
P22090	P60891	RPS4Y1	PRPS1
P22090	Q8TD47	RPS4Y1	RPS4Y2
Q8TD47	P49674	RPS4Y2	CSNK1E
Q8TD47	Q6NUN9	RPS4Y2	ZNF746
Q05066	P08047	SRY	SP1
Q05066	Q14974	SRY	KPNB1
Q05066	O15379	SRY	HDAC3
Q05066	Q15599	SRY	SLC9A3R2
Q05066	P10275	SRY	AR
Q05066	Q09472	SRY	EP300
Q05066	P84022	SRY	SMAD3
Q05066	O43345	SRY	ZNF208
Q05066	P61964	SRY	WDR5
Q9BQ87	Q99832	TBL1Y	CCT7
Q9BQ87	Q01167	TBL1Y	FOXK2
Q9BQ87	O75376	TBL1Y	NCOR1
Q9BQ87	P17987	TBL1Y	TCP1
Q9BQ87	P48643	TBL1Y	CCT5
Q9BQ87	Q9UL03	TBL1Y	INTS6
Q9BQ87	P25685	TBL1Y	DNAJB1
Q9BQ87	Q3ZCM7	TBL1Y	TUBB8
Q9BQ87	P68366	TBL1Y	TUBA4A
Q9BQ87	Q15750	TBL1Y	TAB1
Q9BQ87	O75808	TBL1Y	CAPN15
Q9BQ87	Q9UDY4	TBL1Y	DNAJB4
Q9BQ87	P49368	TBL1Y	CCT3
Q9BQ87	O43318	TBL1Y	MAP3K7
Q9BQ87	Q9Y266	TBL1Y	NUDC
Q9BQ87	P50991	TBL1Y	CCT4
Q9BQ87	Q13227	TBL1Y	GPS2
Q9BQ87	Q5T3J3	TBL1Y	LRIF1
Q9BQ87	O15379	TBL1Y	HDAC3
Q9BQ87	Q15022	TBL1Y	SUZ12
Q9BQ87	Q9HCK8	TBL1Y	CHD8
Q9BQ87	Q9BZK7	TBL1Y	TBL1XR1
Q9BQ87	Q8NI36	TBL1Y	WDR36
Q9BQ87	Q9NYJ8	TBL1Y	TAB2
Q9BQ87	Q92526	TBL1Y	CCT6B
Q9BQ87	O60907	TBL1Y	TBL1X
Q9BQ87	P40227	TBL1Y	CCT6A
Q9BQ87	P78371	TBL1Y	CCT2
Q9BQ87	Q9Y618	TBL1Y	NCOR2
Q9BQ87	B4DH63	TBL1Y	cDNA FLJ58101, highly similar to F-box/LRR-repeat protein 18
Q8IUE0	Q9BPU6	TGIF2LY	DPYSL5
Q8IUE0	Q9NZT2	TGIF2LY	OGFR
Q8IUE0	O75581	TGIF2LY	LRP6
Q8IUE0	O43865	TGIF2LY	AHCYL1
Q8IUE0	Q53EL6	TGIF2LY	PDCD4
Q8IUE0	Q15742	TGIF2LY	NAB2
Q8IUE0	Q9NZJ5	TGIF2LY	EIF2AK3
Q8IUE0	Q16555	TGIF2LY	DPYSL2
Q8IUE0	O75197	TGIF2LY	LRP5
Q8IUE0	P11234	TGIF2LY	RALB
Q8IUE0	Q9NXF7	TGIF2LY	DCAF16
Q8IUE0	Q9NS73	TGIF2LY	MBIP
Q8IUE0	P27348	TGIF2LY	YWHAQ
Q8IUE0	Q96KB5	TGIF2LY	PBK
Q8IUE0	Q6TFL4	TGIF2LY	KLHL24
Q8IUE0	Q8IUE1	TGIF2LY	TGIF2LX
Q8IUE0	Q9H0N5	TGIF2LY	PCBD2
Q8IUE0	Q96HN2	TGIF2LY	AHCYL2
Q8IUE0	Q8WZA9	TGIF2LY	IRGQ
Q8IUE0	Q96SW2	TGIF2LY	CRBN
Q8IUE0	A6NDG6	TGIF2LY	PGP
