Gene_1	Gene_2
RP1-130E4.1	RP11-181G12.1
EGFR	HSPC322
RP11-575L7.1	SART3
RP11-247A12.4	TCP1
RP11-338C15.1	SMAD3
NAB2	RP11-48C7.4
CCT6B	WDR86
FBRS	PRPF31
FWP006	HIST3H3
CLTC	MCM2
NAP1L1	UBC
Hsph1	tcag7.78
RP11-297A16.3	UBC
AKT1	APP
ERH	GS1-120K12.1
EIF3B	HSPC057
DDX51	PCGF6
DAZAP2	RP11-475E11.6
PCBP2	PIN1
LRP5	NXPH2
EGFR	LP3587
RP1-184J9.1	TBL1XR1
PAX3	RP11-7O11.4
CHD3	GSK3B
APP	GALK1
GS1-120K12.1	RP11-4M23.6
HIV1gp4	RP11-391H12.1
CDC73	TCP1
CDKN1A	RP11-575L7.1
EGFR	UNQ253/PRO290
CSNK1G2	SMAD3
CLK3	SNRNP70
RFFL	RP11-307C12.1
AC002059.7	IGHM
DAZAP2	UNQ1845/PRO3573
FOXB1	RP3-339A18.4
FAM98A	MCM2
APP	KPNA2
PCNA	RP11-369L1.1
CCT2	HUSSY-07
SRSF3	YWHAQ
ARL4D	PP8000
MDM2	YWHAQ
COQ7	PNAS-129
HSPC057	hCG_2002013
LA16c-358B7.1	RAD51
SMAD2	SPTBN1
KRAS	hCG_1732268
SF3B1	WWOX
AC002059.7	RP11-460I13.4
APP	RP11-334P12.1
CCT6B	RP1-310O13.10-004
PRDX2	PRDX6
FETUB	UBC
CALM1	RP23-243I3.2
FAM107A	RP5-1112D6.1
PPP2CB	RP11-443G18.6
Dok1	SMAD3
EGFR	PIM1
AC002059.7	RP4-696P19.1
RP11-307C12.1	RP11-572K18.1
RRP1	SRPK2
HNRNPF	RP5-1024G6.4
PATZ1	RP1-130E4.1
HSPC069	SMAD3
DAZAP1	TALDO1
SRPK2	TPD52
ESR2	RP5-1181N3.2
EGFR	SNX6
AKT2	HIST1H3A
APEH	SHBG
HAUS7	RP11-187B3.1
HNRNPF	ZNF746
CCNA2	KRAS
CSNK2A1	NCL
ATP5A1	CD81
DDB1	PCNA
APP	IFIH1
DNAJB4	RP11-326F20.2
PRPF31	RP5-1118M15.1
SMAD3	hCG_1640438
PPM1A	UNQ1873/PRO4316
UBC	YFR053C
UBC	YDL022W
CGI-95	VHL
RP11-262P20.3	RP11-383C12.1
AD-006	RP11-288G3.1
APP	NME2
ECT2	WDR5
ATP5O	SUZ12
HSPC108	SUZ12
RP11-391H12.1	USP7
APP	HPP1
CD81	EIF3G
GALK1	RP3-330O12.3
PSMD12	UBC
AZGP1	MCM2
EGFR	RP3-407F17.2
PHB2	RP1-130E4.1
KRAS	MSTP061
RP11-348N5.4	XX-FW88778H2.1
HERC2	NUDCD2
Akt2	IB3089A
CTA-250D10.14-005	SMAD3
MYCN	WDR5
DNM1L	PRDX2
MCM2	TRIM25
RP3-339A18.4	UNK
BAG3	MCM7
BARD1	WDR5
GS1-120K12.1	RP4-614O4.1
AC002059.7	HSPC225
RAPGEF2	UBC
CGI-59	CLK3
ATP5L	EGFR
CUL3	RP5-1121H13.2
KCTD2	MIS12
NCOR1	SAFB
HIST2H2AC	USP22
CAPRIN1	GS1-120K12.1
RP11-307C12.1	SOS2
CALM1	S100B
CCT6B	KDM4B
MCM2	NCLN
HIST3H3	SIN3A
GS1-120K12.1	UBE2E3
RP1-130E4.1	SHMT2
PP2464	SRPK2
SRPK2	TUBA1B
CALM1	Hsp90ab1
AMFR	KPNB1
SUZ12	U2AF1
DPYSL5	TGIF2LY
APP	RP11-288G3.1
ATXN1	LDB1
CUL3	Tceb2
MCM7	RP1-302G2.1
TRIM54	UCHL1
RP3-407F17.2	SSX2IP
ATP5I	SMAD2
RP3-339A18.4	RP5-890O3.5
GS1-120K12.1	WDR36
MAT2A	RP3-330O12.3
MCM2	PPP2R2A
GTF3C3	RP1-85F18.1
EGFR	RP1-22I17.2
NTRK1	RP3-401D24.1
RP11-378J18.4	WWOX
CRYBB1	TERF1
EGFR	GRN
ERG	UBC
ARNT	SP1
BCL6	CHD3
RP11-173P16.1	RP3-330O12.3
CALM1	Vat1l
COX2	NLGN3
Cct7	ZNF281
ALDH3A2	CUL3
CALM1	Pikfyve
DAZAP2	FAM134C
HIST2H2AC	RP11-419N10.4
AC002059.7	NDUFV1
AHCYL1	YAP1
RP11-324J2.1	ZNF317
MCM7	RP3-477O4.2
AP1B1	SHBG
APP	DNAJC19
HUSSY-27	PLCD3
CUL3	RPS25
AC002059.7	RP11-354A16.1
DAZAP2	HGS
RP3-330O12.3	TMED10
PSAT1	UBC
QRICH1	SIAH1
AC002059.7	RP11-342M3.3
APP	ZWINT
UBC	UBE2B
H2AFV	PCNA
ACY1	TERF1
CSNK2A1	TMPO
DZIP3	NCOR1
CGI-03	UBXN7
RP1-130E4.1	RP1-85F18.1
UBC	YDR023W
DAAP-285E11.4	RP3-330O12.3
CUL3	SEP15
Hoxa1	RBPMS
BM-015	ZZZ3
APP	CELF4
RP5-889N15.3	UBC
OSBPL8	ZNF746
DASS-97D12.7	ZNF23
CSH2	SMAD2
SSBP1	YWHAQ
RP11-383C12.1	RP11-519K18.1
LIPH	TUBA4A
SAC3D1	WDR5
CUL3	KLHL11
APP	RP11-181K3.3
RP11-550P23.1	TUBA3C
CLK1	OK/SW-cl.3
CALM1	HERC2
CCDC146	EGFR
SUZ12	TRIM28
A-152E5.7	RPAP1
KAT5	PCNA
GTF2A1	RP11-57G10.3
HLC6	MCM7
HCFC2	RP11-631M21.2
PROZ	TUBA4A
RP1-154G14.1	TLR3
CLK3	RP11-315I14.4
AC002059.7	HSPC261
BM-037	KPNB1
MCM2	RGS7BP
HSD48	MCM2
ARRB2	CCT6A
CUL3	NUDT21
RP11-383C12.1	UNQ5814
RP1-5O6.1	RP3-453C12.9
RPS27A	ZNF71
PUS7	RP11-173P16.1
CDKN2A	UBC
CBX3	MIS12
RP1-130E4.1	RP11-323H21.4
HDAC2	SAP25
DAZAP1	PCBP1
PDIA3	UBE3A
CSE1L	RP3-339A18.4
CGI-97	POT1
NXF1	RP3-407F17.2
APPL1	HDAC3
ZNF324B	ZNF746
KIF1C	RP5-1013A10.2
SMN2	WWOX
CSNK2A1	PIAS1
AC002059.7	HDAC2
CLK1	PPIG
HSPC049	WWOX
CSNK2A2	DSC2
APP	UNQ743/PRO1471
CD81	XXbac-BCX105G6.6
RTN3	TERF1
HDAC3	WDR5
HIST1H4I	RP3-330O12.3
CCT2	CCT5
CLK1	UNQ2428/PRO4988
PAK6	YWHAQ
RP11-332E3.2	YWHAQ
CSNK2A2	TMEM126A
CCT2	SSSCA1
CUL3	QPCT
DAAP-285E11.8	RP3-330O12.3
AHCYL2	FBXW11
MCM2	RP3-511E16.1
CPNE3	PP8000
HNRNPUL1	RP1-85F18.1
APP	NDUFS4
CDK5	UCHL1
CCT6A	RP1-138B7.2
GATA6	SP1
APP	RP5-1037B23.1
APP	CTA-268H5.8
HSPA5	RP1-85F18.1
CHD8	ZNF707
CTA-941F9.7	SMAD3
AHCYL1	RP3-447F3.1
PCNA	cdt1
CCT4	RP11-534L20.1
NUB1	UBC
DCAF16	RP11-391H12.1
AC002059.7	SUMO2P1
PP3360	RP11-187B3.1
RP11-4M23.6	SUZ12
APP	RP11-56D16.3
ELAVL1	SATB2
PSMA2	RP3-339A18.4
ARMC6	EGFR
DCAF16	TULP3
APP	CGI-52
ICAM1	RP11-354A16.1
RP3-407F17.2	YLR362W
NDUFS1	TOMM40
HIST4H4	RP1-85F18.1
CD81	SERPINB9
UBC	YPL240C
BM-015	PSME3
RP11-212K13.2	WWOX
CDK2	RP11-575L7.1
CSNK2A1	Csnk2b
AC002059.7	EGFR
RP11-73M18.7	YWHAE
CUL3	MACF1
APP	CINP
RP1-130E4.1	RRP1B
KRT15	PRPF31
MSTP026	RP3-330O12.3
RP3-330O12.3	RP5-882O7.2
GS1-120K12.1	RPL27A
APP	GDF11
CHAF1B	RP11-96K19.1
EIF5	RP11-575L7.1
RELA	SMAD3
MAN2B2	RP3-330O12.3
CEP85	RP11-187B3.1
RP1-85F18.1	RP11-422P24.6
RP1-130E4.1	RPSA
CALM1	RCHY1
A-152E5.1	PPM1A
DDX21	ZNF746
CSNK2A1	RP11-8J9.3
GS1-120K12.1	RP11-15J22.5
HIST2H2BE	RNF20
HSPA2	RP11-173P16.1
ICAM1	NCL
EGFR	RP5-1024G6.8
COTL1	RP5-1068B5.2
APP	TBC1D26
TLE2	VENTX
ASNS	EGFR
RP11-436C9.1	VHL
RP11-536C5.3	TCCCTA00141
HSPC057	RPLP1
APP	C11orf53
CUL3	RP5-1034F7.2
SYNE2	TERF1
DHX15	RP11-536C5.3
BAG3	RP11-575L7.1
CCT2	ENDOV
APP	MCFD2
AP3S2	RP3-339A18.4
HDAC3	UNQ648/PRO1278
OBSL1	UBC
AHCYL1	LA16c-313D11.6
FBRS	GS1-120K12.1
CHD3	RP11-573G6.1
HIF1A	SP1
B3GALT2	LRP5
CUL3	PTBP1
CCT4	RP4-811H24.2
LUC7L3	RP1-130E4.1
GSK3B	SMAD3
MYD88	SMAD3
HDAC4	KIF1C
SETD1B	WDR5
CUL3	PPP1CB
DNAJA3	RAD51
UBC	YER026C
CSNK2A1	RP11-109A6.1
AC002059.7	HMGB3
HNRNPA2B1	RP11-307C12.1
DAZAP2	POLI
APP	TRIM63
MCM2	NAP1L1
APEX1	KLHL36
MYC	YWHAQ
RP11-8I8.2	RP3-407F17.2
HIST3H3	PHF12
CENPH	POC1A
HSP90B1	PCNA
ARRB1	RP11-575L7.1
CUL3	PYCRL
RP3-330O12.3	UNQ6505/PRO21383
PCNA	RP11-22I24.1
CBL	RP5-1068B5.2
FBRS	WWOX
GBA	TCP1
MCM2	STIP1
KPNA4	KPNB1
GMNN	RP11-120D5.1
LRP5	RP6-88D7.1
SNRPA	UBC
CCT7	WDR70
NOTCH1	TCF12
AKAP8	RP1-130E4.1
AKT2	CLIP3
LCA5	YWHAE
Id2	TCF12
CALM1	LY96
HNRNPUL1	HSPC057
CCT8	CRY2
AC001226.5	SRPK2
EGFR	PRO0039
Dmel_CG30169	RAD51
NUMA1	RP1-130E4.1
APP	STK17B
HIST1H2AB	RP11-391H12.1
HDAC3	RP1-111D6.3
GAN	TCP1
AKT1	UCHL1
CRY2	NXN
ACTB	CD81
MAPT	UBC
LPP	UBE3A
KRAS	WDR83
APP	CGI-55
RPL23	ZNF746
MSTP026	UBC
FOXA2	SATB2
HSPC114	RP11-1114A5.1
RP11-529I10.2	TERF1
RBM14	RP1-85F18.1
RP11-79D8.3	TLE2
RPL26	ZNF317
SRPK2	TRA2B
RRM2	VHL
UBC	ube2nb
FOXK2	GL002
HIST3H3	TRPM7
PRMT5	RBFOX1
HSPC057	YWHAZ
A-152E5.1	RP3-407F17.2
CSNK2A1	RP4-677H15.3
CTDSPL	EGFR
ACP5	EGR2
ACSL3	HSPC057
HNRNPF	RP11-216L13.1
GSK3B	LRP6
AP1B1	EGFR
MRPS27	ZNF746
SNW1	WDR5
APP	OSTF1
PCNA	RYK
HKMT1069	RP3-330O12.3
APOBEC3C	FN1
Hnrnpf	OK/SW-cl.48
PDLIM1	RP1-130E4.1
HSP90AA1	RP3-339A18.4
PMS1	UBR5
CCDC183	CEBPA
FKSG82	HIST2H2AC
KRAS	TWIST1
SPRR2G	SUZ12
ILVBL	XPO4
My043	RP3-339A18.4
NDUFS1	RP1-164F3.2
CALM1	GRB7
PRDX2	SAT1
EGFR	RP11-263K15.1
APP	IL18RAP
RP11-536C5.3	TUBA1B
CUL3	MSH6
DNAJB1	RP4-635E18.2
FP17425	MCM2
HES6	RP11-203D19.1
RP11-96K19.1	THRB
EGFR	RP11-452K12.5
EGFR	PFKM
CUL3	POLRMT
PLEKHA5	SRPK2
PRO0314	RP11-383C12.1
H2AFV	MCM2
FBXL18	TBL1Y
SF3B2	SUZ12
RP1-93K22.1	RP11-348N5.4
CREBBP	PCNA
DHX38	PP8000
DNAJB1	UBC
IL12RB1	TUBA4A
EGFR	RP1-257C19.1
CLK3	HNRNPC
RP11-13E5.1	RP11-443G18.6
PUM2	STRBP
AD-006	RP11-554C12.1
APP	RP11-5K23.1
HIV1gp3	RP3-339A18.4
HS2ST1	HSPC005
EZH2	SUZ12
APP	IPO4
NAB2	XXbac-BCX105G6.2
MAX	RP1-85F18.1
EGFR	VAV2
NUP205	RP3-330O12.3
MCM7	RP23-204N19.4
RP1-111D6.3	TBL1X
GS1-120K12.1	SKP1
EGFR	SNX4
DAB2	SMAD2
QRICH1	RP11-223J15.3
EGFR	RP1-65J11.4
HAUS4	RP11-187B3.1
FOXA1	RP11-203D19.1
EGFR	RP5-1121H13.2
APP	RP11-4F5.2
GPS2	NR0B2
KIF1C	ZBTB21
AC002059.7	HYOU1
IRS2	YWHAE
PCSK1N	RAD51
EGFR	MLXIPL
AC002059.7	NIPBL
DADB-104B20.2	WDR5
GLE1	GS1-120K12.1
RPAP1	XX-FW81657B9.4
CUL3	SQSTM1
SENP3	UBE3A
DSTN	SHBG
ISG15	RP11-575L7.1
HDAC4	Ncor2
CCT6B	FBXW8
KDM4B	RP1-130E4.1
AC002059.7	RPS10P4
RAB27A	RP11-96K19.1
HIST1H2AG	RP11-391H12.1
FARSA	WWOX
SUZ12	VGF
DUT	RP1-130E4.1
PHC2	SBBI58
CSNK2A1	KANK2
APP	TRIM52
FBXL3	RP23-316M14.8
POTEF	RP11-230F18.3
APP	RP4-758J24.3
RP11-575L7.1	U2AF1
GS1-120K12.1	RP11-353C18.2
RP1-148E22.1	UBC
FOXM1	SP1
CSNK2A1	DDX24
AC002059.7	PCM1
PCNA	PFKM
RP11-658F2.8	ZNF317
APP	PP2D1
AD-005	KRAS
RP1-130E4.1	VCP
AHCYL1	RP11-569G9.2
APP	MYL1
COPS6	RP1-85F18.1
RP11-375E1__A.4	RP3-339A18.4
COQ7	GLRX5
RP11-187B3.1	SSX2IP
PMS1	RP5-965G21.1
APP	RP11-101E3.2
FOXK2	RP3-349A12.1
RALB	TULP3
CRY2	MTHFD1
GFPT2	UBC
CDC20	TUBA4A
HIST2H2BE	MSL1
KIF11	NCOR1
HIV1gp8	RP11-173P16.1
NLGN3	PRDX2
RP3-330O12.3	UGGT1
HSPC075	SRPK2
ALDH7A1	APP
EGFR	PRKAR1A
Cct2	PDCD5
RP11-536C5.3	RPL19
CDH1	EGFR
MCM2	RGPD2
APP	TYMSOS
KPNB1	MIG5
CDK4	SMAD3
MCM2	RP5-1042K10.8
HIST2H2BE	PRMT6
DDX18	RP1-130E4.1
ARF4	MCM2
NFE2L2	RP11-1114A5.1
GS1-120K12.1	PP9932
NIFK	WDR36
CDKN1A	RP23-33N15.1
GS1-120K12.1	VGF
APP	SH3RF2
C25D7.8	UBC
KIF11	RP3-330O12.3
ATXN1	DADB-70P7.5
RFPL4B	RP11-96K19.1
MAP4	RP11-391H12.1
KIF1C	THOC1
RALB	RGL4
CD81	RP11-196G18.6
ALKBH3	CCT5
DNAJB1	TBL1Y
CCT6A	Ppp4c
RP11-96K19.1	WWC1
MCFD2	YWHAQ
FBL	RP11-631M21.2
Cul3	GADD45GIP1
HIST1H2BF	MCM2
SUZ12	YBX3
RP1-5O6.1	SBBI31
ICAM1	RPL13A
APP	RP11-48B24.1
BM-015	MAP3K12
RP1-85F18.1	SENP3
HIST1H1D	PMS1
NEDD8	TUBA4A
RP11-1114A5.1	SF3B1
UBC	YGR167W
ATXN1	RP11-463P17.6
PIN1	ventx2.1-b
CDC37	CLK3
CCT6B	GAN
Clk1	PTPN1
CIRBP	NXF1
DNAJA3	KRAS
NUDCD2	OK/SW-cl.22
RP3-339A18.4	TFRC
SMAD3	SMAD3
RPS27A	VCAM1
MCM7	MIPOL1
CUL3	UST
RP23-33N15.1	RP3-337H4.5
CAGF28	CSNK2A1
MCM2	RPS4X
BM-015	CALM1
CUL3	NUP153
MCM2	RPL37A
GNPNAT1	MCM2
AC002059.7	P4HB
HSPA4	UBE3A
DSG1	RP1-130E4.1
RP11-575L7.1	TRMT61B
PIN1	WEE1
EGFR	SPATC1L
Rasd2	SMAD2
AKT2	RP1-315G1.5
FANCI	MCM2
CBLC	RP11-307C12.1
FOXK2	HCFC1
HSPC057	SLAIN2
CUL3	PIG32
HIST4H4	MCM2
CSNK2A2	FBRSL1
RP5-1189B24.5	SUZ12
BCL6	HDAC3
RP1-130E4.1	U2AF2
Cct7	RP11-443G18.6
PIN1	TNIP1
RP1-283E3.6	YWHAQ
KIF1C	SIPA1L1
CD81	CTSC
DUSP3	EGFR
MCM2	PHB2
PIN1	SMAD2
CSNK2A2	PIP4K2C
HNRNPA2B1	MAP1S
CCT7	FBXW8
PBK	PTEN
CSNK2A1	HIRIP3
RP11-575L7.1	SNX33
CUL3	hCG_1643458
ARMC1	DPYSL5
HPD	RP11-1114A5.1
HDAC7	YWHAE
BUB3	KPNB1
FRMD6	TCF12
RP1-5O6.1	RP5-890O15.1
RALB	tcag7.1185
HSPC057	P/OKcl.14
AP2M1	RPS27A
RP11-307C12.1	RP11-426L16.2
HCVgp1	RP1-85F18.1
CCT4	FKSG82
KRAS	LRRC32
HDAC2	PCGF6
PIG32	RP3-330O12.3
CSK	EGFR
CCT4	RP23-183D11.1
APBB1	EGFR
Bag2	DNAJB4
RP11-203D19.1	RP11-550P23.1
CUL3	DHX36
DCN	EGFR
COPS5	KLHL24
CUL3	GK002
CUL3	KBTBD4
CDKN1B	UBE3A
CGI-03	CUL3
PAK6	RP1-130E4.1
CALM1	Cyfip1
AD-006	PDIA6
HDAC3	IB3089A
HDAC2	NCOR2
APP	KANSL2
RP23-63E8.1	TBX3
EGFR	RP4-635A23.1
UBC	YCR009C
CYTB	KRAS
SRPK2	TMPRSS11A
RP3-330O12.3	TUBB6
APP	RP11-322F10.4
ARPC3	KRAS
FOXK2	RP5-1066H13.1
RP11-24B19.2	UNQ362/PRO698
MAGEL2	PCGF6
DADB-87H23.3	RP11-11N7.3
DDX6	WWOX
HSPC057	RPL13A
CALM1	MIG5
RP11-112J3.4	RP5-1068B5.2
PSEC0262	RP3-339A18.4
ABCB6	GS1-120K12.1
OR7G3	UBC
DSP	WWOX
CUL3	HSPB1
CCT7	PPP2CA
DADB-127H9.2	RP11-57G10.3
RP4-811H24.2	SUZ12
ELAVL1	PCGF6
SRPK2	THRAP3
DYRK1B	RP1-85F18.1
APP	RP11-234K24.1
FOXK2	RP11-174I10.1
CCT7	RP11-506K6.1
HSPC322	RP3-339A18.4
APP	RP5-1013A10.1
CCT5	HNRNPH1
NEK9	RP3-339A18.4
RP11-203D19.1	RP11-321G1.2
GS1-120K12.1	HSPC263
SKP1	TBL1X
APP	HMGB2
CCDC9	DN-199E5.2
TUBA4A	UNQ156/PRO182
EGFR	MAP4K1
POLK	RPAP1
CUL3	SDHB
EIF3A	ZNF746
CUL3	FANCI
DBF4	MCM2
NUDCD2	RP3-328E19.2
EGFR	SOCS5
CD81	DADB-159G18.1
PAIP2B	RBM3
CLK1	SAMD9L
APP	SMURF1
EGR1	NAB2
HNRNPA2B1	RP1-130E4.1
CTA-215D11.2	YWHAQ
AC002059.7	GS1-120K12.1
DAZAP1	RP11-618A20.2
PRPF31	UPF2
CCT2	NSMAF
EML4	RP11-540N4.1
RP1-184J9.1	RP3-401D24.1
RP1-130E4.1	RP1-187J11.1
ANKRD17	APC
AHCYL1	OK/SW-cl.88
KPNB1	RP4-800J21.2
BBS10	RP1-154G14.1
SIN3A	TBL1X
PCBD2	STAT3
UBXN7	USP34
CTA-250D10.14-005	KPNB1
INSL6	POTEF
DAZAP2	NDUFA5
CCT2	TTC27
EPAS1	RP1-85F18.1
C12orf43	TERF1
MSTP033	RP11-57G10.3
PSMC2	RP3-330O12.3
AHCYL1	TES
HDAC3	SRY
APP	TMA16
CCDC77	RP11-187B3.1
RP11-536C5.3	SUPT16H
PIG32	RP3-339A18.4
NCOR1	PPP1CC
RP11-307C12.1	RP11-56D16.3
POU4F1	RP1-130E4.1
PPP1CA	RP1-130E4.1
EPS15L1	MCM2
RP11-536C5.3	RPL30
GS1-120K12.1	WDR6
CDABP0131	EGFR
ELAC2	SMAD3
RP4-547C9.1	SUZ12
ADAM22	KRAS
ERBB3	SRPK2
AKT2	USP9Y
PDCD5	RP11-96K19.1
APP	RP13-514E23.1
PCNA	USP5
Cul3	SAP30
LA16c-313D11.4	RP3-330O12.3
FUS	SUZ12
CALM1	Map6
RP1-130E4.1	RP11-452K12.13-007
NLGN3	XX-FW83128A1.1
POT1	RBM14
APP	EIF3G
POU3F2	RP1-85F18.1
KRAS	UNQ6348
FBXL18	MOCS3
GS1-120K12.1	RPLP1
APP	RP13-1021K9.1
HSPC057	HSPC154
CSNK2A1	UBE2D3
RP5-1054A22.2	SMAD3
APP	ATP6V1E1
CD81	HIST1H2BA
HSPC162	RP11-173P16.1
DN-393H17.5	PIG31
UBN1	WDR36
CSNK2A2	NKTR
APP	NECAP1
APP	CDKL2
HOXB9	SOX15
RP11-540N4.1	RP11-540N4.1
CHD4	CPNE5
RP11-443G18.6	tcag7.78
Hnrnpf	RP4-635E18.2
RP1-85F18.1	SOX9
OGT	WWOX
RP11-383C12.1	WIPI1
RP11-24B19.2	UNQ1821/PRO3434
PKD1L2	SRPK2
CARM1	CUL3
CDH1	GS1-120K12.1
CHD4	MYC
RP3-423B22.3	YTHDC1
EGFR	PRO0324
AC002059.7	SPTBN1
CAPN2	YWHAE
CSNK2A2	RP11-172H24.2
MSX1	PAX3
EIF3E	RP3-339A18.4
BAD	YWHAQ
RP11-393H10.1	RP5-1170K4.4
HOXA3	POT1
AD-006	RP1-184J9.1
Atf2	CEBPA
HNRNPH3	RP11-391H12.1
HSPC057	RP1-302G2.1
PC	PSG1
CHD1L	HIST2H2BE
GS1-120K12.1	WIZ
NXF1	PBK
HAUS8	RP11-187B3.1
CHD4	HSFY1
TRAFD1	VHL
CSNK2A2	MSTP029
NSD1	RP3-429G5.1
DAZAP1	RP11-359B12.2
RP11-229P13.6	SHBG
Hnrnpf	LSM11
ARFGEF2	ICAM1
RAD51	TIMM13
HSPC057	RP11-203M2.2
GS1-120K12.1	RP13-886N14.3
HIST1H4H	MCM2
ATF4	NLGN3
RP3-496N17.2	UBC
RP11-262K24.2	VHL
LRP5	UNQ2976/PRO7455/PRO7476
HUSSY-27	RP11-297A16.3
EGFR	TNK2
EGFR	FOXO3
APP	MVB12A
CSNK2A1	SMARCC2
ATXN1	ESRRA
RP11-125A15.2	RP11-57G10.3
ZNF746	hCG_1640448
APP	DDX42
HNRNPA1	HNRNPF
ETV6	LRP5
APP	BM-007
RP11-573G6.1	WDR5
DCD	HSPC057
DDX3X	MCM2
CIRBP	HT020
MCM2	TRAPPC5
GS1-120K12.1	PCGF3
OCM2	PP8000
MCM2	PLEC
CUL3	YTHDF2
CCT7	RP4-647M16.2
CEP290	RP1-130E4.1
CD81	HIST1H1D
C11orf84	EGFR
NCOR2	RP5-890O15.2
PPP1R13L	SRPK2
SMAD3	SMURF2
RAD51	ST14
BM-022	HSPC057
CALM1	RP23-342L24.2
EIF2AK3	SFTPC
SMAD3	WWP1
EGFR	NCL
EIF4A3	YTHDC1
GANAB	RP3-339A18.4
RP3-339A18.4	RPS25
CUL3	KRT10
CSNK2A1	JUN
EGFR	HK1
APP	RP1-163G9.1
ATG3	RP3-339A18.4
PP8000	PRO0992
NPLOC4	RP11-575L7.1
RP5-1167H4.6	SRPK2
APP	CAGF28
PSMC5	SP1
HSPC057	RPS12
APP	UNQ229/PRO262
E2F1	RP11-57G10.3
RP3-339A18.4	RPL13A
RP3-339A18.4	RP3-511E16.1
PGPEP1	TNNT3
HSPC057	STK38L
SRPK2	TTN
LSR	YWHAE
APP	RPL34
DCAF16	TGIF2LY
EGFR	RFC5
TRIM42	YWHAQ
CALM1	Dynlrb2
SFPQ	UBC
CUL3	TECR
HSPC057	HSPC071
POT1	RP11-462F15.1
DENND4A	YWHAE
PNAS-24	SRPK2
CCT5	TXNDC9
GABPA	RP1-85F18.1
EGFR	TTI1
My032	UBC
MCM2	PDIA6
SNRNP27	SRPK2
CCT6A	RP11-54K16.1
RP11-57G10.3	SERPINB4
RP1-5O6.1	Uso1
PSEC0181	RP11-631M21.2
HIST1H3D	SUZ12
HSPC057	RP11-730A19.1
GS1-120K12.1	RBBP4
FOXK2	PRDM10
HOXA1	LCE1B
PRO1933	UBC
CUL3	RP1-292B18.2
RP23-77A2.2	WDR36
CCT7	TSSC1
MCM2	OK/SW-cl.48
PRPF8	RP3-330O12.3
EGFR	RP11-496O3.2
POC1A	RP5-1163J1.2
RP11-57G10.3	ZNF550
GIPC1	MCM7
RP11-443G18.6	RP4-811H24.2
CSNK2A1	RNF43
CCT5	VCAM1
LTBR	RP11-187B3.1
DZIP3	RP4-811H24.2
DCUN1D1	UBC
APLF	HIST2H2AC
AZGP1	HSPC057
EGFR	SRRM1
BAG4	MCM2
CNTNAP1	RP3-330O12.3
RNF20	YWHAQ
EIF2AK3	VAPA
GS1-120K12.1	HNRNPAB
CDK6	MCM2
MCM7	PSMD12
DHX9	RP11-575L7.1
DDX3Y	RP3-330O12.3
EGFR	RP11-343H5.2
RP11-575L7.1	RP11-658F2.8
CGI-151	SRPK2
AC002059.7	FKBP3
CCT2	Tuba3a
CCNB2	CRHBP
HIST1H2BH	ICAM1
RBMY1F	RP11-575L7.1
SMURF1	UBC
Dtl	RP11-57G10.3
ACY1	POT1
CSNK2A1	NANOG
PIN1	SRRM1
GS1-120K12.1	TUFM
ARNTL	UBE3A
UBC	UNC79
KRAS	NHEJ1
Mad2l1	PRIM1
EGFR	RP11-3J11.4
HNRNPF	TXNL4A
MCM3AP	RP1-85F18.1
LRP6	RASSF1
HIST2H2AA4	MCM2
A-152E5.7	UBC
CUL3	RP11-1114A5.1
APP	RP3-436N22.4
INPPL1	WWOX
PSMC2	RP11-443G18.6
RP1-193B12.10-001	RP11-536C5.3
DDB2	TCP1
CHD2	SRPK2
CNBP	GS1-120K12.1
DDB2	RP11-443G18.6
CALM1	Ppp3cb
TRN-GTT2-1	YGL122C
APP	DNAAF2
ANAPC7	UBC
PIN1	TAGLN3
EGFR	tcag7.235
RP1-142L7.1	RP11-536C5.3
CCT6A	RP4-655J12.1
CCT6B	CYP27A1
GS1-120K12.1	SIK1
ABT1	APP
EVC2	NUDCD2
DLX5	FOXA1
CMAS	RP3-330O12.3
CRK	UBC
EGFR	ST8SIA4
CCT5	RP11-529I10.2
EEF2	GS1-120K12.1
RP11-57C13.1	RP3-330O12.3
CHAF1A	RBM3
RP3-339A18.4	SLX1B
AC002059.7	RPS19P3
EGFR	RP3-511B24.1
HNRNPM	Hnrnpf
KB-152G3.1	RP11-443G18.6
RNF19B	UBC
ELAVL1	VHL
SDHA	YWHAQ
RP11-575L7.1	SNRPD1
CCT4	HUSSY-07
UBC	YDR099W
MSTP158	POC1A
GS1-120K12.1	TRIM28
CUL3	RP11-227D2.1
FP1193	UBC
APP	LYRM7
CALM1	Gadl1
PRKDC	TERF1
CD81	ZBTB16
UBC	YNR050C
ACTL6B	APP
KRAS	PTGR2
CLK1	UNQ438/PRO871
RP11-383C12.1	SPOP
PRO1470	XPO4
CCT6A	KPNA4
CFAP97	CSNK2A1
KPNB1	PTN
RP11-216N14.6	SUZ12
CEP170	EGFR
GALK1	ZNF746
HDAC3	RP1-184J9.1
CSNK2A1	RP1-148E22.1
RP5-1126H10.1	UBC
EGFR	RP1-14O9.1
CTTNBP2	RP11-443G18.6
HSP90AB2P	MCM2
TNK1	YWHAQ
RP23-63E8.1	SLC39A10
NRIP1	RP1-130E4.1
CSNK2A2	GPATCH2L
HSPC277	RP11-383C12.1
RP11-77F13.2	VHL
EGFR	RP11-494P5.1
PARD6G	YWHAE
