interactor_1	interactor_2	interactor_1_uniprot	interactor_2_uniprot
RBMY1F	RBMY1F	Q15415	Q15415
RBMY1F	ZNF385C	Q15415	Q66K41
SUZ12	TBL1Y	Q15022	Q9BQ87
RNF2	RPS4Y1	Q99496	P22090
RNF2	ZFY	Q99496	P08048
VSX1	USP9Y	Q9NZR4	O00507
RPS4Y1	RPS4Y2	P22090	Q8TD47
PRPS1	RPS4Y1	P60891	P22090
DDX3Y	CCNB2	O15523	O95067
APP	VCY	P05067	O14598
CLK1	RPS4Y1	P49759	P22090
ODF2	DDX3Y	Q5BJF6	O15523
POC1A	DDX3Y	Q8NBT0	O15523
PCNA	UTY	P12004	O14607
KIF1C	UTY	O43896	O14607
FOXK2	TBL1Y	Q01167	Q9BQ87
CRY2	DDX3Y	Q49AN0	O15523
MCM2	DDX3Y	P49736	O15523
ZNF746	RPS4Y1	Q6NUN9	P22090
ZNF746	RPS4Y2	Q6NUN9	Q8TD47
EGFR	EIF1AY	P00533	O14602
NLGN3	NLGN4Y	Q9NZ94	Q8NFZ3
TGIF2LY	TGIF2LX	Q8IUE0	Q8IUE1
EIF1AY	EIF1AX	O14602	P47813
TBL1Y	TBL1X	Q9BQ87	O60907
TBL1Y	NCOR2	Q9BQ87	Q9Y618
ZFY	ZFX	P08048	P17010
EIF1AY	KLHL36	O14602	Q8N4N3
TBL1Y	TBL1XR1	Q9BQ87	Q9BZK7
TBL1Y	GPS2	Q9BQ87	Q13227
TBL1Y	NCOR1	Q9BQ87	O75376
TBL1Y	HDAC3	Q9BQ87	O15379
ZFY	NSD1	P08048	Q96L73
TGIF2LY	LRP6	Q8IUE0	O75581
CLK3	USP9Y	P49761	O00507
TGIF2LY	PDCD4	Q8IUE0	Q53EL6
HSFY1	TUBA3C	Q96LI6	P0DPH7
TGIF2LY	OGFR	Q8IUE0	Q9NZT2
ZFY	CACNB3	P08048	P54284
NLGN4Y	PRIM1	Q8NFZ3	P49642
TGIF2LY	CRBN	Q8IUE0	Q96SW2
TBL1Y	CAPN15	Q9BQ87	O75808
TGIF2LY	AHCYL2	Q8IUE0	Q96HN2
TGIF2LY	PGP	Q8IUE0	A6NDG6
TGIF2LY	GMNN	Q8IUE0	O75496
TGIF2LY	DCAF16	Q8IUE0	Q9NXF7
TGIF2LY	THNSL1	Q8IUE0	Q8IYQ7
TGIF2LY	LRP5	Q8IUE0	O75197
NLGN4Y	PRIM2	Q8NFZ3	P49643
TBL1Y	INTS6	Q9BQ87	Q9UL03
TGIF2LY	IRGQ	Q8IUE0	Q8WZA9
TGIF2LY	PBK	Q8IUE0	Q96KB5
HSFY1	SATB2	Q96LI6	Q9UPW6
HSFY1	POTEF	Q96LI6	A5A3E0
HSFY1	CHD4	Q96LI6	Q14839
TBL1Y	MAP3K7	Q9BQ87	O43318
TGIF2LY	ARIH1	Q8IUE0	Q9Y4X5
NCKIPSD	USP9Y	Q9NZQ3	O00507
ZNF331	USP9Y	Q9NQX6	O00507
TGIF2LY	DPYSL5	Q8IUE0	Q9BPU6
CSNK1E	RPS4Y2	P49674	Q8TD47
TGIF2LY	AHCYL1	Q8IUE0	O43865
TBL1Y	LRIF1	Q9BQ87	Q5T3J3
TGIF2LY	UBXN7	Q8IUE0	O94888
TBL1Y	CCT2	Q9BQ87	P78371
HSFY1	CHD3	Q96LI6	Q12873
HSFY1	MIS12	Q96LI6	Q9H081
TBL1Y	TAB1	Q9BQ87	Q15750
TBL1Y	DNAJB1	Q9BQ87	P25685
TBL1Y	WDR36	Q9BQ87	Q8NI36
TBL1Y	CCT3	Q9BQ87	P49368
NUDCD2	DDX3Y	Q8WVJ2	O15523
TGIF2LY	RALB	Q8IUE0	P11234
HS2ST1	USP9Y	Q7LGA3	O00507
TBL1Y	CCT7	Q9BQ87	Q99832
TGIF2LY	EIF2AK3	Q8IUE0	Q9NZJ5
TBL1Y	CCT6A	Q9BQ87	P40227
TGIF2LY	DPYSL2	Q8IUE0	Q16555
TBL1Y	DNAJB4	Q9BQ87	Q9UDY4
AKT2	USP9Y	P31751	O00507
TGIF2LY	ANKRD17	Q8IUE0	O75179
TBL1Y	CCT4	Q9BQ87	P50991
TBL1Y	TCP1	Q9BQ87	P17987
TBL1Y	CHD8	Q9BQ87	Q9HCK8
TBL1Y	CCT5	Q9BQ87	P48643
HSFY1	RAD51	Q96LI6	Q06609
TBL1Y	CCT6B	Q9BQ87	Q92526
TGIF2LY	KLHL24	Q8IUE0	Q6TFL4
TBL1Y	TUBA4A	Q9BQ87	P68366
TBL1Y	TUBB8	Q9BQ87	Q3ZCM7
CYLD	RPS4Y1	Q9NQC7	P22090
FOXA1	EIF1AY	P55317	O14602
JAK2	HSFY1	O60674	Q96LI6
SMARCB1	HSFY1	Q12824	Q96LI6
MTF1	DDX3Y	Q14872	O15523
