Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
S33 mutants of beta-catenin aren't phosphorylated	18561	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
S37 mutants of beta-catenin aren't phosphorylated	19772	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
S45 mutants of beta-catenin aren't phosphorylated	18114	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
T41 mutants of beta-catenin aren't phosphorylated	17841	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
TCF7L2 mutants don't bind CTBP	19152	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
deletions in the AMER1 gene destabilize the destruction complex	18145	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
deletions in the AXIN genes in hepatocellular carcinoma result in elevated WNT signaling	19027	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
misspliced GSK3beta mutants stabilize beta-catenin	18097	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex	18661	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
truncated APC mutants destabilize the destruction complex	16689	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
truncations of AMER1 destabilize the destruction complex	18627	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Metabolism of proteins	18366	REACTOME	9606	13	678	0.08302008054641005	0.11694452970369944	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; EIF1AX; EIF2AK3; FBXO6; RPS4Y1; SHC1; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; EIF1AX|IDBG-50658|ENSG00000173674|1964|; EIF2AK3|IDBG-60518|ENSG00000172071|9451|; FBXO6|IDBG-89462|ENSG00000116663|26270|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; SHC1|IDBG-103007|ENSG00000160691|6464|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
ATR signaling pathway	15654	PID NCI	9606	2	37	0.07844717936050263	0.11767076904075395	MCM2; RAD51; 	MCM2|IDBG-54871|ENSG00000073111|4171|; RAD51|IDBG-6509|ENSG00000051180|5888|; 
p75 NTR receptor-mediated signalling	17826	REACTOME	9606	3	82	0.084000883851079	0.11802655832240214	HDAC3; UBC; YWHAE; 	HDAC3|IDBG-50725|ENSG00000171720|8841|; UBC|IDBG-64029|ENSG00000150991|7316|; YWHAE|IDBG-14629|ENSG00000108953|7531|; 
IRS-related events triggered by IGF1R	13282	REACTOME	9606	3	80	0.07931537657675428	0.11833342473144791	AKT2; JAK2; PPM1A; 	AKT2|IDBG-51270|ENSG00000105221|208|; JAK2|IDBG-47039|ENSG00000096968|3717|; PPM1A|IDBG-8210|ENSG00000100614|5494|; 
Direct p53 effectors	15209	PID NCI	9606	4	129	0.07917673156343932	0.11844497578897258	EGFR; FOXA1; PCNA; SP1; 	EGFR|IDBG-16933|ENSG00000146648|1956|; FOXA1|IDBG-5104|ENSG00000129514|3169|; PCNA|IDBG-50801|ENSG00000132646|5111|; SP1|IDBG-36616|ENSG00000185591|6667|; 
VEGF signaling pathway	16190	INOH	9606	5	183	0.0805054940653194	0.11978699519102486	AKT2; CSNK1E; EGFR; JAK2; MAP3K7; 	AKT2|IDBG-51270|ENSG00000105221|208|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; 
Nuclear Receptor transcription pathway	13739	REACTOME	9606	2	39	0.085899318569282	0.12008594913337912	AR; ESR1; 	AR|IDBG-73722|ENSG00000169083|367|; ESR1|IDBG-97997|ENSG00000091831|2099|; 
RNA Polymerase I Promoter Opening	13737	REACTOME	9606	2	39	0.085899318569282	0.12008594913337912	HIST2H2AC; HIST2H2BE; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; 
Osteoclast differentiation	10367	KEGG	9606	4	133	0.08632441462269048	0.12037701034068649	AKT2; CYLD; MAP3K7; TAB1; 	AKT2|IDBG-51270|ENSG00000105221|208|; CYLD|IDBG-30697|ENSG00000083799|102724054,1540|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
IL3	15919	NETPATH	9606	3	84	0.08880268014493996	0.12290645256968	JAK2; SHC1; YWHAQ; 	JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; YWHAQ|IDBG-27933|ENSG00000134308|10971|; 
Negative epigenetic regulation of rRNA expression	19850	REACTOME	9606	3	84	0.08880268014493996	0.12290645256968	HIST2H2AC; HIST2H2BE; SIRT1; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; SIRT1|IDBG-75847|ENSG00000096717|23411|; 
Senescence-Associated Secretory Phenotype (SASP)	19271	REACTOME	9606	3	84	0.08880268014493996	0.12290645256968	HIST2H2AC; HIST2H2BE; UBC; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; UBC|IDBG-64029|ENSG00000150991|7316|; 
IL-1 signaling pathway 	16110	INOH	9606	2	40	0.08970277958841533	0.1238433897302749	MAP3K7; TAB1; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
Hepatitis C	10404	KEGG	9606	4	136	0.09188523699149378	0.12654170354907954	AKT2; CD81; EGFR; EIF2AK3; 	AKT2|IDBG-51270|ENSG00000105221|208|; CD81|IDBG-22455|ENSG00000110651|975|; EGFR|IDBG-16933|ENSG00000146648|1956|; EIF2AK3|IDBG-60518|ENSG00000172071|9451|; 
NGF signalling via TRKA from the plasma membrane	18753	REACTOME	9606	5	191	0.092559723083727	0.12715506512739724	AKT2; EGFR; JAK2; RALB; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; RALB|IDBG-68212|ENSG00000144118|5899|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
DNA methylation	18620	REACTOME	9606	2	41	0.0935553588591829	0.12788971469666627	HIST2H2AC; HIST2H2BE; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; 
Recycling pathway of L1	13874	REACTOME	9606	2	41	0.0935553588591829	0.12788971469666627	DPYSL2; TUBA4A; 	DPYSL2|IDBG-13200|ENSG00000092964|102723812,1808|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Insulin Pathway	15835	PID NCI	9606	2	42	0.09745524662656317	0.13256779871995725	AKT2; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Toll-like receptor signaling pathway 	16121	INOH	9606	2	42	0.09745524662656317	0.13256779871995725	MAP3K7; TAB1; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
G2/M Checkpoints	17760	REACTOME	9606	2	43	0.10140067019143853	0.1369279123023075	CCNB2; MCM2; 	CCNB2|IDBG-14456|ENSG00000157456|9133|; MCM2|IDBG-54871|ENSG00000073111|4171|; 
PDGF signaling pathway	16259	INOH	9606	2	43	0.10140067019143853	0.1369279123023075	AKT2; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
ErbB signaling pathway	461	KEGG	9606	3	89	0.10129613987774103	0.13745564213238695	AKT2; EGFR; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Gap junction	436	KEGG	9606	3	90	0.10387556499276085	0.13992946255092784	EGFR; TUBA4A; TUBB8; 	EGFR|IDBG-16933|ENSG00000146648|1956|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; TUBB8|IDBG-777287|ENSG00000261456|347688|; 
MAPK signaling pathway	487	KEGG	9606	6	257	0.10466256705673681	0.14064824386559063	AKT2; CACNB3; EGFR; MAP3K7; PPM1A; TAB1; 	AKT2|IDBG-51270|ENSG00000105221|208|; CACNB3|IDBG-30418|ENSG00000167535|784|; EGFR|IDBG-16933|ENSG00000146648|1956|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; PPM1A|IDBG-8210|ENSG00000100614|5494|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
Downstream TCR signaling	13068	REACTOME	9606	2	44	0.10538989325323682	0.14094311025432876	MAP3K7; UBC; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Nfat and hypertrophy of the heart 	4058	PID BIOCARTA	9606	2	44	0.10538989325323682	0.14094311025432876	ACTA1; SHC1; 	ACTA1|IDBG-107311|ENSG00000143632|58|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
TCR	15915	NETPATH	9606	6	259	0.10757224086084133	0.14351585018693977	ACTA1; DNAJB1; DPYSL2; SHC1; TUBA4A; YWHAQ; 	ACTA1|IDBG-107311|ENSG00000143632|58|; DNAJB1|IDBG-33491|ENSG00000132002|3337|; DPYSL2|IDBG-13200|ENSG00000092964|102723812,1808|; SHC1|IDBG-103007|ENSG00000160691|6464|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; YWHAQ|IDBG-27933|ENSG00000134308|10971|; 
Signaling by FGFR	13320	REACTOME	9606	4	145	0.10955944189225039	0.14546768002439944	AKT2; EGFR; JAK2; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Interleukin-2 signaling	13083	REACTOME	9606	2	45	0.10942121530870082	0.14563255274899028	JAK2; SHC1; 	JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
RNA Polymerase I Transcription Initiation	13738	REACTOME	9606	2	46	0.11349297102596073	0.15033078501052077	CHD3; CHD4; 	CHD3|IDBG-27053|ENSG00000170004|1107|; CHD4|IDBG-14532|ENSG00000111642|1108|; 
Nucleotide excision repair	2801	KEGG	9606	2	47	0.11760352964208978	0.15540466416990434	CUL4A; PCNA; 	CUL4A|IDBG-52956|ENSG00000139842|8451|; PCNA|IDBG-50801|ENSG00000132646|5111|; 
Membrane Trafficking	19875	REACTOME	9606	5	207	0.11927374535688642	0.15723736026857948	AKT2; TUBA4A; UBC; YWHAE; YWHAQ; 	AKT2|IDBG-51270|ENSG00000105221|208|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; UBC|IDBG-64029|ENSG00000150991|7316|; YWHAE|IDBG-14629|ENSG00000108953|7531|; YWHAQ|IDBG-27933|ENSG00000134308|10971|; 
Formation of the ternary complex, and subsequently, the 43S complex	13448	REACTOME	9606	2	48	0.12175129438457724	0.15974460610742405	EIF1AX; RPS4Y1; 	EIF1AX|IDBG-50658|ENSG00000173674|1964|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
Notch signaling pathway	491	KEGG	9606	2	48	0.12175129438457724	0.15974460610742405	EP300; NCOR2; 	EP300|IDBG-8992|ENSG00000100393|2033|; NCOR2|IDBG-63911|ENSG00000196498|9612|; 
Deposition of new CENPA-containing nucleosomes at the centromere	12912	REACTOME	9606	2	49	0.1259347018631928	0.16368561951773306	HIST2H2AC; HIST2H2BE; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; 
Il-2 receptor beta chain in t cell activation	4011	PID BIOCARTA	9606	2	49	0.1259347018631928	0.16368561951773306	PCNA; SHC1; 	PCNA|IDBG-50801|ENSG00000132646|5111|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Malaria	10359	KEGG	9606	2	49	0.1259347018631928	0.16368561951773306	CD81; ICAM1; 	CD81|IDBG-22455|ENSG00000110651|975|; ICAM1|IDBG-26804|ENSG00000090339|3383|; 
Nucleosome assembly	17736	REACTOME	9606	2	49	0.1259347018631928	0.16368561951773306	HIST2H2AC; HIST2H2BE; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; 
CXCR4-mediated signaling events	15059	PID NCI	9606	2	50	0.13015222151323091	0.1683787481115225	JAK2; RALB; 	JAK2|IDBG-47039|ENSG00000096968|3717|; RALB|IDBG-68212|ENSG00000144118|5899|; 
Axon guidance	17789	REACTOME	9606	7	336	0.13004639301892845	0.1686349255268815	CACNB3; CSNK2A1; DPYSL2; DPYSL5; EGFR; JAK2; TUBA4A; 	CACNB3|IDBG-30418|ENSG00000167535|784|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; DPYSL2|IDBG-13200|ENSG00000092964|102723812,1808|; DPYSL5|IDBG-36183|ENSG00000157851|56896|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Downstream signaling events of B Cell Receptor (BCR)	19698	REACTOME	9606	4	155	0.1308404251517406	0.16887543246329312	AKT2; EGFR; MAP3K7; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; UBC|IDBG-64029|ENSG00000150991|7316|; 
BCR	15916	NETPATH	9606	4	157	0.13529075647479857	0.1742143151821652	CD81; HNRNPK; MAP3K7; SHC1; 	CD81|IDBG-22455|ENSG00000110651|975|; HNRNPK|IDBG-73948|ENSG00000165119|3190|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Signaling events mediated by Stem cell factor receptor (c-Kit)	15404	PID NCI	9606	2	52	0.13868363576336923	0.17816994872377298	JAK2; SHC1; 	JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Chagas disease (American trypanosomiasis)	10366	KEGG	9606	3	103	0.13962655363236282	0.17855469416120132	AKT2; SMAD2; SMAD3; 	AKT2|IDBG-51270|ENSG00000105221|208|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; 
Toll-like receptor signaling pathway	564	KEGG	9606	3	103	0.13962655363236282	0.17855469416120132	AKT2; MAP3K7; TAB1; 	AKT2|IDBG-51270|ENSG00000105221|208|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
Platelet activation, signaling and aggregation	17662	REACTOME	9606	5	219	0.14144710152321058	0.18046699159857904	AKT2; APP; JAK2; SHC1; TUBA4A; 	AKT2|IDBG-51270|ENSG00000105221|208|; APP|IDBG-1100|ENSG00000142192|351|; JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Caspase Cascade in Apoptosis	14995	PID NCI	9606	2	53	0.142994628265771	0.18077908584852598	ACTA1; APP; 	ACTA1|IDBG-107311|ENSG00000143632|58|; APP|IDBG-1100|ENSG00000142192|351|; 
Endometrial cancer	506	KEGG	9606	2	53	0.142994628265771	0.18077908584852598	AKT2; EGFR; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; 
Notch signaling pathway	15899	PID NCI	9606	2	53	0.142994628265771	0.18077908584852598	EP300; LNX1; 	EP300|IDBG-8992|ENSG00000100393|2033|; LNX1|IDBG-18546|ENSG00000072201|84708|; 
KitReceptor	15910	NETPATH	9606	3	104	0.14253299698356384	0.18143535166485764	EP300; JAK2; SHC1; 	EP300|IDBG-8992|ENSG00000100393|2033|; JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Orphan transporters	18365	REACTOME	9606	3	105	0.1454597209399846	0.1834776025492988	NCOA6; TBL1X; TBL1XR1; 	NCOA6|IDBG-68724|ENSG00000198646|23054|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; 
Signaling by FGFR in disease	16656	REACTOME	9606	4	162	0.1466826775243779	0.18460064858510147	AKT2; EGFR; JAK2; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Ribosomal scanning and start codon recognition	13450	REACTOME	9606	2	55	0.15170015915685753	0.1900532467992233	EIF1AX; RPS4Y1; 	EIF1AX|IDBG-50658|ENSG00000173674|1964|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
Translation initiation complex formation	13445	REACTOME	9606	2	55	0.15170015915685753	0.1900532467992233	EIF1AX; RPS4Y1; 	EIF1AX|IDBG-50658|ENSG00000173674|1964|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	13446	REACTOME	9606	2	56	0.1560919774995571	0.19424001684361927	EIF1AX; RPS4Y1; 	EIF1AX|IDBG-50658|ENSG00000173674|1964|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
Mapkinase signaling pathway	4137	PID BIOCARTA	9606	2	56	0.1560919774995571	0.19424001684361927	MAP3K7; SP1; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; SP1|IDBG-36616|ENSG00000185591|6667|; 
degradation of DVL	17694	REACTOME	9606	2	56	0.1560919774995571	0.19424001684361927	CUL3; UBC; 	CUL3|IDBG-82331|ENSG00000036257|8452|; UBC|IDBG-64029|ENSG00000150991|7316|; 
NOD-like receptor signaling pathway	8112	KEGG	9606	2	57	0.16050806647926247	0.19884369842855062	MAP3K7; TAB1; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
Non-small cell lung cancer	444	KEGG	9606	2	57	0.16050806647926247	0.19884369842855062	AKT2; EGFR; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; 
mRNA Splicing	19346	REACTOME	9606	3	111	0.1634228760732281	0.20155488049031467	HNRNPF; HNRNPK; RBMX; 	HNRNPF|IDBG-71348|ENSG00000169813|3185|; HNRNPK|IDBG-73948|ENSG00000165119|3190|; RBMX|IDBG-87732|ENSG00000147274|101928747,26787,27316|; 
mRNA Splicing - Major Pathway	13745	REACTOME	9606	3	111	0.1634228760732281	0.20155488049031467	HNRNPF; HNRNPK; RBMX; 	HNRNPF|IDBG-71348|ENSG00000169813|3185|; HNRNPK|IDBG-73948|ENSG00000165119|3190|; RBMX|IDBG-87732|ENSG00000147274|101928747,26787,27316|; 
CDT1 association with the CDC6:ORC:origin complex	12959	REACTOME	9606	2	58	0.16494713842603062	0.20298372910520399	GMNN; UBC; 	GMNN|IDBG-65780|ENSG00000112312|51053|; UBC|IDBG-64029|ENSG00000150991|7316|; 
DNA Repair	19821	REACTOME	9606	3	112	0.16648003462736338	0.20396560533816044	PCNA; RAD51; UBC; 	PCNA|IDBG-50801|ENSG00000132646|5111|; RAD51|IDBG-6509|ENSG00000051180|5888|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Resolution of Sister Chromatid Cohesion	12939	REACTOME	9606	3	112	0.16648003462736338	0.20396560533816044	CCNB2; MIS12; TUBA4A; 	CCNB2|IDBG-14456|ENSG00000157456|9133|; MIS12|IDBG-21731|ENSG00000167842|79003|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Innate Immune System	17476	REACTOME	9606	10	563	0.16968596659515106	0.2069795856270524	AKT2; APP; CYLD; EGFR; EP300; JAK2; MAP3K7; NCKIPSD; TAB1; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; APP|IDBG-1100|ENSG00000142192|351|; CYLD|IDBG-30697|ENSG00000083799|102724054,1540|; EGFR|IDBG-16933|ENSG00000146648|1956|; EP300|IDBG-8992|ENSG00000100393|2033|; JAK2|IDBG-47039|ENSG00000096968|3717|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; NCKIPSD|IDBG-239383|ENSG00000213672|51517|; TAB1|IDBG-8281|ENSG00000100324|10454|; UBC|IDBG-64029|ENSG00000150991|7316|; 
IL5	15921	NETPATH	9606	2	59	0.1694079336754975	0.2070956017398703	JAK2; SHC1; 	JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Beta1 integrin cell surface interactions	14944	PID NCI	9606	2	60	0.17388922010983998	0.21071728637764453	CD81; IGSF8; 	CD81|IDBG-22455|ENSG00000110651|975|; IGSF8|IDBG-103984|ENSG00000162729|93185|; 
Cell death signalling via NRAGE, NRIF and NADE	18983	REACTOME	9606	2	60	0.17388922010983998	0.21071728637764453	UBC; YWHAE; 	UBC|IDBG-64029|ENSG00000150991|7316|; YWHAE|IDBG-14629|ENSG00000108953|7531|; 
PI3K Cascade	13278	REACTOME	9606	2	60	0.17388922010983998	0.21071728637764453	AKT2; PPM1A; 	AKT2|IDBG-51270|ENSG00000105221|208|; PPM1A|IDBG-8210|ENSG00000100614|5494|; 
Processing of Capped Intron-Containing Pre-mRNA	13751	REACTOME	9606	3	115	0.1757518495383414	0.2125104063045304	HNRNPF; HNRNPK; RBMX; 	HNRNPF|IDBG-71348|ENSG00000169813|3185|; HNRNPK|IDBG-73948|ENSG00000165119|3190|; RBMX|IDBG-87732|ENSG00000147274|101928747,26787,27316|; 
TCR signaling	17097	REACTOME	9606	2	61	0.17838979267301097	0.21523116289895888	MAP3K7; UBC; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Cell Cycle Checkpoints	19894	REACTOME	9606	3	117	0.18201262273287278	0.21912582563285116	CCNB2; MCM2; UBC; 	CCNB2|IDBG-14456|ENSG00000157456|9133|; MCM2|IDBG-54871|ENSG00000073111|4171|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Interferon gamma signaling	13077	REACTOME	9606	2	63	0.1874441083608434	0.22517636393997423	ICAM1; JAK2; 	ICAM1|IDBG-26804|ENSG00000090339|3383|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
HIF-1-alpha transcription factor network	15518	PID NCI	9606	2	64	0.19199557238712825	0.23014588050724877	SMAD3; SP1; 	SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; 
Neurotrophin signaling pathway	4379	KEGG	9606	3	121	0.19471066449881808	0.23289745430354317	AKT2; SHC1; YWHAE; 	AKT2|IDBG-51270|ENSG00000105221|208|; SHC1|IDBG-103007|ENSG00000160691|6464|; YWHAE|IDBG-14629|ENSG00000108953|7531|; 
RNA Polymerase I Chain Elongation	13735	REACTOME	9606	2	65	0.19656176342817	0.23460597570459002	HIST2H2AC; HIST2H2BE; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; 
Activation of NF-kappaB in B cells	13094	REACTOME	9606	2	66	0.20114160470823753	0.23904409124854784	MAP3K7; UBC; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Semaphorin interactions	17105	REACTOME	9606	2	66	0.20114160470823753	0.23904409124854784	DPYSL2; DPYSL5; 	DPYSL2|IDBG-13200|ENSG00000092964|102723812,1808|; DPYSL5|IDBG-36183|ENSG00000157851|56896|; 
Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	14943	PID NCI	9606	2	67	0.20573404375289328	0.24397947496336703	KPNB1; SHC1; 	KPNB1|IDBG-56053|ENSG00000108424|3837|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Signaling by the B Cell Receptor (BCR)	19561	REACTOME	9606	4	188	0.21122852738378173	0.24942943127233802	AKT2; EGFR; MAP3K7; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Systemic lupus erythematosus	2805	KEGG	9606	3	126	0.21088152692491088	0.24955063420751714	HIST2H2AC; HIST2H2BE; HIST3H3; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; 
Signaling by SCF-KIT	13325	REACTOME	9606	3	127	0.2141515811233515	0.252344219795032	AKT2; EGFR; JAK2; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
