Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
BCR signaling pathway	15384	PID NCI	9606	3	63	0.044571590788127086	0.08005576986217001	CSNK2A1; MAP3K7; SHC1; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Colorectal cancer	442	KEGG	9606	3	63	0.044571590788127086	0.08005576986217001	AKT2; SMAD2; SMAD3; 	AKT2|IDBG-51270|ENSG00000105221|208|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; 
Mitotic Prophase	18847	REACTOME	9606	4	107	0.04558333096025116	0.08005933127512467	CCNB2; HIST2H2AC; HIST2H2BE; HIST3H3; 	CCNB2|IDBG-14456|ENSG00000157456|9133|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; 
Signaling by Insulin receptor	13281	REACTOME	9606	4	107	0.04558333096025116	0.08005933127512467	AKT2; JAK2; PPM1A; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; JAK2|IDBG-47039|ENSG00000096968|3717|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Apoptosis	17979	REACTOME	9606	5	155	0.04552623708099526	0.08046834898074003	AKT2; KPNB1; UBC; YWHAE; YWHAQ; 	AKT2|IDBG-51270|ENSG00000105221|208|; KPNB1|IDBG-56053|ENSG00000108424|3837|; UBC|IDBG-64029|ENSG00000150991|7316|; YWHAE|IDBG-14629|ENSG00000108953|7531|; YWHAQ|IDBG-27933|ENSG00000134308|10971|; 
E2F transcription factor network	15410	PID NCI	9606	3	64	0.04634872359830993	0.0811468189181767	E2F7; SIRT1; SP1; 	E2F7|IDBG-49113|ENSG00000165891|144455|; SIRT1|IDBG-75847|ENSG00000096717|23411|; SP1|IDBG-36616|ENSG00000185591|6667|; 
ErbB2/ErbB3 signaling events	15442	PID NCI	9606	2	28	0.047859701408775164	0.0827480818749851	JAK2; SHC1; 	JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
IL2 signaling events mediated by STAT5	15584	PID NCI	9606	2	28	0.047859701408775164	0.0827480818749851	SHC1; SP1; 	SHC1|IDBG-103007|ENSG00000160691|6464|; SP1|IDBG-36616|ENSG00000185591|6667|; 
PKB-mediated events	16929	REACTOME	9606	2	28	0.047859701408775164	0.0827480818749851	AKT2; PPM1A; 	AKT2|IDBG-51270|ENSG00000105221|208|; PPM1A|IDBG-8210|ENSG00000100614|5494|; 
Thromboxane A2 receptor signaling	14941	PID NCI	9606	2	28	0.047859701408775164	0.0827480818749851	EGFR; ICAM1; 	EGFR|IDBG-16933|ENSG00000146648|1956|; ICAM1|IDBG-26804|ENSG00000090339|3383|; 
L1CAM interactions	13877	REACTOME	9606	4	109	0.04822589156287151	0.083122266513645	CSNK2A1; DPYSL2; EGFR; TUBA4A; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; DPYSL2|IDBG-13200|ENSG00000092964|102723812,1808|; EGFR|IDBG-16933|ENSG00000146648|1956|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Interferon Signaling	18059	REACTOME	9606	5	158	0.048730159865604555	0.08373138924275705	ARIH1; ICAM1; JAK2; KPNB1; UBC; 	ARIH1|IDBG-20750|ENSG00000166233|25820|; ICAM1|IDBG-26804|ENSG00000090339|3383|; JAK2|IDBG-47039|ENSG00000096968|3717|; KPNB1|IDBG-56053|ENSG00000108424|3837|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Glioma	523	KEGG	9606	3	66	0.05000684247212295	0.08565986904946987	AKT2; EGFR; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
IGF1 pathway	15262	PID NCI	9606	2	29	0.050992160053026966	0.08654632669550448	SHC1; YWHAE; 	SHC1|IDBG-103007|ENSG00000160691|6464|; YWHAE|IDBG-14629|ENSG00000108953|7531|; 
Internalization of ErbB1	15162	PID NCI	9606	2	29	0.050992160053026966	0.08654632669550448	EGFR; SHC1; 	EGFR|IDBG-16933|ENSG00000146648|1956|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Lissencephaly gene (LIS1) in neuronal migration and development	15729	PID NCI	9606	2	29	0.050992160053026966	0.08654632669550448	CSNK2A1; YWHAE; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; YWHAE|IDBG-14629|ENSG00000108953|7531|; 
Assembly of the pre-replicative complex	12961	REACTOME	9606	3	67	0.051887335644205355	0.08753030784964734	GMNN; MCM2; UBC; 	GMNN|IDBG-65780|ENSG00000112312|51053|; MCM2|IDBG-54871|ENSG00000073111|4171|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Cytosolic sensors of pathogen-associated DNA 	19557	REACTOME	9606	3	67	0.051887335644205355	0.08753030784964734	APP; EP300; UBC; 	APP|IDBG-1100|ENSG00000142192|351|; EP300|IDBG-8992|ENSG00000100393|2033|; UBC|IDBG-64029|ENSG00000150991|7316|; 
TSLP	15928	NETPATH	9606	5	161	0.052064705180140135	0.08756336780296296	CHD8; JAK2; RPAP1; SHC1; WDR36; 	CHD8|IDBG-2645|ENSG00000100888|57680|; JAK2|IDBG-47039|ENSG00000096968|3717|; RPAP1|IDBG-7174|ENSG00000103932|102724088,26015|; SHC1|IDBG-103007|ENSG00000160691|6464|; WDR36|IDBG-36607|ENSG00000134987|134430|; 
BMP receptor signaling	15033	PID NCI	9606	2	30	0.05419628020682381	0.0892550015275585	MAP3K7; PPM1A; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; PPM1A|IDBG-8210|ENSG00000100614|5494|; 
Circadian rhythm	526	KEGG	9606	2	30	0.05419628020682381	0.0892550015275585	CRY2; CSNK1E; 	CRY2|IDBG-41167|ENSG00000121671|1408|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; 
EPO signaling pathway	15297	PID NCI	9606	2	30	0.05419628020682381	0.0892550015275585	JAK2; SHC1; 	JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Oncogene Induced Senescence	16811	REACTOME	9606	2	30	0.05419628020682381	0.0892550015275585	SP1; UBC; 	SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
