interactor_1	interactor_2	interactor_1_uniprot	interactor_2_uniprot	database
RBM3	RBMY1A1	P98179	P0DJD3	BioGrid
RBM3	RBMY1F	P98179	Q15415	BioGrid
RBMY1A1	RBMY1A1	P0DJD3	P0DJD3	BioGrid
RBMY1A1	DAAM2	P0DJD3	Q86T65	BioGrid
RBMY1A1	PRPF31	P0DJD3	Q8WWY3	BioGrid
RBMY1A1	RBMX	P0DJD3	P38159	BioGrid
RBMY1A1	APOBEC3C	P0DJD3	Q9NRW3	BioGrid
RBMY1A1	PCDHB14	P0DJD3	Q9Y5E9	BioGrid
RBMY1A1	ZNF317	P0DJD3	Q96PQ6	BioGrid
RBMY1A1	AEN	P0DJD3	Q8WTP8	BioGrid
RBMY1A1	PRR3	P0DJD3	P79522	BioGrid
RBMY1A1	LNX1	P0DJD3	Q8TBB1	BioGrid
RBMY1A1	CBX2	P0DJD3	Q14781	BioGrid
SOX15	HSFY1	O60248	Q96LI6	BioGrid
GCM2	HSFY1	O75603	Q96LI6	BioGrid
SV2B	HSFY1	Q7L1I2	Q96LI6	BioGrid
DAAM2	RBMY1F	Q86T65	Q15415	BioGrid
PRPF31	RBMY1F	Q8WWY3	Q15415	BioGrid
RBMX	RBMY1F	P38159	Q15415	BioGrid
APOBEC3C	RBMY1F	Q9NRW3	Q15415	BioGrid
MBIP	TGIF2LY	Q9NS73	Q8IUE0	BioGrid
RASD1	RBMY1F	Q9Y272	Q15415	BioGrid
RBM47	HSFY1	A0AV96	Q96LI6	BioGrid
QRICH1	HSFY1	Q2TAL8	Q96LI6	BioGrid
PCDHB14	RBMY1F	Q9Y5E9	Q15415	BioGrid
AEN	RBMY1F	Q8WTP8	Q15415	BioGrid
PRR3	RBMY1F	P79522	Q15415	BioGrid
FAM103A1	RBMY1F	Q9BTL3	Q15415	BioGrid
CBX2	RBMY1F	Q14781	Q15415	BioGrid
YTHDC1	RBMY1F	Q96MU7	Q15415	BioGrid
RBMY1F	RBMY1F	Q15415	Q15415	BioGrid
RBMY1F	ZNF385C	Q15415	Q66K41	BioGrid
SUZ12	TBL1Y	Q15022	Q9BQ87	BioGrid
RNF2	RPS4Y1	Q99496	P22090	BioGrid
RNF2	ZFY	Q99496	P08048	BioGrid
VSX1	USP9Y	Q9NZR4	O00507	BioGrid
RPS4Y1	RPS4Y2	P22090	Q8TD47	BioGrid
PRPS1	RPS4Y1	P60891	P22090	BioGrid
DDX3Y	CCNB2	O15523	O95067	BioGrid
APP	VCY	P05067	O14598	BioGrid
REV3L	CDY1	O60673	Q9Y6F8	BioGrid
KRAS	USP9Y	P01116	O00507	BioGrid
CLK1	RPS4Y1	P49759	P22090	BioGrid
ODF2	DDX3Y	Q5BJF6	O15523	BioGrid
POC1A	DDX3Y	Q8NBT0	O15523	BioGrid
RBMY1F	HNRNPK	Q15415	P61978	BioGrid
ZNF317	RBMY1A1	Q96PQ6	P0DJD3	BioGrid
PCNA	UTY	P12004	O14607	BioGrid
KIF1C	UTY	O43896	O14607	BioGrid
Hsph1	USP9Y	Q92598	O00507	BioGrid
FOXK2	TBL1Y	Q01167	Q9BQ87	BioGrid
CRY2	DDX3Y	Q49AN0	O15523	BioGrid
MCM2	DDX3Y	P49736	O15523	BioGrid
RPT3	PRY2	[]	O14603	BioGrid
APC1	PRY2	Q6NUK1	O14603	BioGrid
SNT1	PRY2	Q13424	O14603	BioGrid
TIF2	PRY2	Q15596	O14603	BioGrid
NHA1	PRY2	Q4ZJI4	O14603	BioGrid
PKC1	PRY2	[]	O14603	BioGrid
ABD1	PRY2	[]	O14603	BioGrid
RPN6	PRY2	[]	O14603	BioGrid
DBF4	PRY2	Q9UBU7	O14603	BioGrid
TRS23	PRY2	[]	O14603	BioGrid
COG3	PRY2	Q96JB2	O14603	BioGrid
SEC24	PRY2	[]	O14603	BioGrid
ARP3	PRY2	P61158	O14603	BioGrid
VTI1	PRY2	Q9UEU0	O14603	BioGrid
POL1	PRY2	[]	O14603	BioGrid
HSP10	PRY2	[]	O14603	BioGrid
GLN4	PRY2	[]	O14603	BioGrid
ACS1	PRY2	[]	O14603	BioGrid
SCT1	PRY2	[]	O14603	BioGrid
AST1	PRY2	[]	O14603	BioGrid
YBL100W-C	PRY2	[]	O14603	BioGrid
YCR075W-A	PRY2	[]	O14603	BioGrid
PBP4	PRY2	[]	O14603	BioGrid
PET100	PRY2	P0DJ07	O14603	BioGrid
ADR1	PRY2	[]	O14603	BioGrid
PIB1	PRY2	[]	O14603	BioGrid
PFA5	PRY2	[]	O14603	BioGrid
IRC4	PRY2	[]	O14603	BioGrid
GDA1	PRY2	[]	O14603	BioGrid
YER053C-A	PRY2	[]	O14603	BioGrid
CAF16	PRY2	[]	O14603	BioGrid
RPO41	PRY2	[]	O14603	BioGrid
ULI1	PRY2	[]	O14603	BioGrid
ERG4	PRY2	[]	O14603	BioGrid
SDS23	PRY2	[]	O14603	BioGrid
TOS8	PRY2	[]	O14603	BioGrid
NEL1	PRY2	[]	O14603	BioGrid
AVT3	PRY2	[]	O14603	BioGrid
LOS1	PRY2	[]	O14603	BioGrid
PRY2	SLX5	O14603	[]	BioGrid
PRY2	SPE1	O14603	[]	BioGrid
PRY2	SAC1	O14603	[]	BioGrid
PRY2	INO4	O14603	[]	BioGrid
PRY2	CKB2	O14603	[]	BioGrid
PRY2	DIA2	O14603	[]	BioGrid
PRY2	PDE2	O14603	[]	BioGrid
PRY2	BTS1	O14603	[]	BioGrid
MMM1	PRY2	[]	O14603	BioGrid
COX19	PRY2	Q49B96	O14603	BioGrid
QRI5	PRY2	[]	O14603	BioGrid
CUE4	PRY2	[]	O14603	BioGrid
YMR196W	PRY2	[]	O14603	BioGrid
PET111	PRY2	[]	O14603	BioGrid
LAP2	PRY2	Q96RT1	O14603	BioGrid
SFB2	PRY2	[]	O14603	BioGrid
VAC7	PRY2	[]	O14603	BioGrid
RIM21	PRY2	[]	O14603	BioGrid
YOL107W	PRY2	[]	O14603	BioGrid
MDY2	PRY2	[]	O14603	BioGrid
SLP1	PRY2	Q9UBI4	O14603	BioGrid
BIL1	PRY2	[]	O14603	BioGrid
GUP2	PRY2	[]	O14603	BioGrid
DSS4	PRY2	[]	O14603	BioGrid
ZNF746	RPS4Y1	Q6NUN9	P22090	BioGrid
ZNF746	RPS4Y2	Q6NUN9	Q8TD47	BioGrid
EGFR	EIF1AY	P00533	O14602	BioGrid
NLGN3	NLGN4Y	Q9NZ94	Q8NFZ3	BioGrid
TGIF2LY	TGIF2LX	Q8IUE0	Q8IUE1	BioGrid
EIF1AY	EIF1AX	O14602	P47813	BioGrid
TBL1Y	TBL1X	Q9BQ87	O60907	BioGrid
TBL1Y	NCOR2	Q9BQ87	Q9Y618	BioGrid
ZFY	ZFX	P08048	P17010	BioGrid
EIF1AY	KLHL36	O14602	Q8N4N3	BioGrid
TBL1Y	TBL1XR1	Q9BQ87	Q9BZK7	BioGrid
TBL1Y	GPS2	Q9BQ87	Q13227	BioGrid
