interactor_1	interactor_2	interactor_1_uniprot	interactor_2_uniprot	database
RPS4Y1	RPS4Y2	P22090	Q8TD47	IID
RPS4Y2	CSNK1E	Q8TD47	P49674	IID
RPS4Y2	ZNF746	Q8TD47	Q6NUN9	IID
SRY	SP1	Q05066	P08047	IID
SRY	KPNB1	Q05066	Q14974	IID
SRY	HDAC3	Q05066	O15379	IID
SRY	SLC9A3R2	Q05066	Q15599	IID
SRY	AR	Q05066	P10275	IID
SRY	EP300	Q05066	Q09472	IID
SRY	SMAD3	Q05066	P84022	IID
SRY	ZNF208	Q05066	O43345	IID
SRY	WDR5	Q05066	P61964	IID
TBL1Y	CCT7	Q9BQ87	Q99832	IID
TBL1Y	FOXK2	Q9BQ87	Q01167	IID
TBL1Y	NCOR1	Q9BQ87	O75376	IID
TBL1Y	TCP1	Q9BQ87	P17987	IID
TBL1Y	CCT5	Q9BQ87	P48643	IID
TBL1Y	INTS6	Q9BQ87	Q9UL03	IID
TBL1Y	DNAJB1	Q9BQ87	P25685	IID
TBL1Y	TUBB8	Q9BQ87	Q3ZCM7	IID
TBL1Y	TUBA4A	Q9BQ87	P68366	IID
TBL1Y	TAB1	Q9BQ87	Q15750	IID
TBL1Y	CAPN15	Q9BQ87	O75808	IID
TBL1Y	DNAJB4	Q9BQ87	Q9UDY4	IID
TBL1Y	CCT3	Q9BQ87	P49368	IID
TBL1Y	MAP3K7	Q9BQ87	O43318	IID
TBL1Y	NUDC	Q9BQ87	Q9Y266	IID
TBL1Y	CCT4	Q9BQ87	P50991	IID
TBL1Y	GPS2	Q9BQ87	Q13227	IID
TBL1Y	LRIF1	Q9BQ87	Q5T3J3	IID
TBL1Y	HDAC3	Q9BQ87	O15379	IID
TBL1Y	SUZ12	Q9BQ87	Q15022	IID
TBL1Y	CHD8	Q9BQ87	Q9HCK8	IID
TBL1Y	TBL1XR1	Q9BQ87	Q9BZK7	IID
TBL1Y	WDR36	Q9BQ87	Q8NI36	IID
TBL1Y	TAB2	Q9BQ87	Q9NYJ8	IID
TBL1Y	CCT6B	Q9BQ87	Q92526	IID
TBL1Y	TBL1X	Q9BQ87	O60907	IID
TBL1Y	CCT6A	Q9BQ87	P40227	IID
TBL1Y	CCT2	Q9BQ87	P78371	IID
TBL1Y	NCOR2	Q9BQ87	Q9Y618	IID
TBL1Y	cDNA FLJ58101, highly similar to F-box/LRR-repeat protein 18	Q9BQ87	B4DH63	IID
TGIF2LY	DPYSL5	Q8IUE0	Q9BPU6	IID
TGIF2LY	OGFR	Q8IUE0	Q9NZT2	IID
TGIF2LY	LRP6	Q8IUE0	O75581	IID
TGIF2LY	AHCYL1	Q8IUE0	O43865	IID
TGIF2LY	PDCD4	Q8IUE0	Q53EL6	IID
TGIF2LY	NAB2	Q8IUE0	Q15742	IID
TGIF2LY	EIF2AK3	Q8IUE0	Q9NZJ5	IID
TGIF2LY	DPYSL2	Q8IUE0	Q16555	IID
TGIF2LY	LRP5	Q8IUE0	O75197	IID
TGIF2LY	RALB	Q8IUE0	P11234	IID
TGIF2LY	DCAF16	Q8IUE0	Q9NXF7	IID
TGIF2LY	MBIP	Q8IUE0	Q9NS73	IID
TGIF2LY	YWHAQ	Q8IUE0	P27348	IID
TGIF2LY	PBK	Q8IUE0	Q96KB5	IID
TGIF2LY	KLHL24	Q8IUE0	Q6TFL4	IID
TGIF2LY	TGIF2LX	Q8IUE0	Q8IUE1	IID
TGIF2LY	PCBD2	Q8IUE0	Q9H0N5	IID
TGIF2LY	AHCYL2	Q8IUE0	Q96HN2	IID
TGIF2LY	IRGQ	Q8IUE0	Q8WZA9	IID
TGIF2LY	CRBN	Q8IUE0	Q96SW2	IID
TGIF2LY	PGP	Q8IUE0	A6NDG6	IID
TGIF2LY	THNSL1	Q8IUE0	Q8IYQ7	IID
TGIF2LY	GMNN	Q8IUE0	O75496	IID
TGIF2LY	ANKHD1	Q8IUE0	Q8IWZ3	IID
TGIF2LY	ARIH1	Q8IUE0	Q9Y4X5	IID
TGIF2LY	UBXN7	Q8IUE0	O94888	IID
TGIF2LY	ANKRD17	Q8IUE0	O75179	IID
TGIF2LY	YWHAZ	Q8IUE0	P63104	IID
TMSB4Y	TERF2IP	O14604	Q9NYB0	IID
TMSB4Y	EWSR1	O14604	Q01844	IID
TMSB4Y	POT1	O14604	Q9NUX5	IID
TMSB4Y	TERF1	O14604	P54274	IID
TMSB4Y	ACTG1	O14604	P63261	IID
TMSB4Y	ACTA1	O14604	P68133	IID
TSPY1	CSNK2A1	Q01534	P68400	IID
TSPY1	TSPY1	Q01534	Q01534	IID
TSPY1	HIST2H2AC	Q01534	Q16777	IID
TSPY1	AR	Q01534	P10275	IID
TSPY1	HIST2H2BE	Q01534	Q16778	IID
TSPY1	EEF1A1	Q01534	P68104	IID
TSPY1	EEF1A2	Q01534	Q05639	IID
TSPY2	APP	A6NKD2	P05067	IID
USP9Y	ZNF331	O00507	Q9NQX6	IID
USP9Y	UBC	O00507	P0CG48	IID
USP9Y	SHC1	O00507	P29353	IID
USP9Y	SIRT1	O00507	Q96EB6	IID
USP9Y	PMS1	O00507	P54277	IID
USP9Y	VSX1	O00507	Q9NZR4	IID
USP9Y	NCKIPSD	O00507	Q9NZQ3	IID
USP9Y	ABRAXAS2	O00507	Q15018	IID
USP9Y	CLK3	O00507	P49761	IID
USP9Y	MAPT	O00507	P10636	IID
USP9Y	HS2ST1	O00507	Q7LGA3	IID
USP9Y	AKT2	O00507	P31751	IID
USP9Y	CSNK1E	O00507	P49674	IID
UTY	PRDX2	O14607	P32119	IID
UTY	PCNA	O14607	P12004	IID
UTY	NCOA6	O14607	Q14686	IID
UTY	TLE2	O14607	Q04725	IID
UTY	TLE1	O14607	Q04724	IID
UTY	KIF1C	O14607	O43896	IID
VCY	APP	O14598	P05067	IID
ZFY	RNF2	P08048	Q99496	IID
ZFY	ZBTB9	P08048	Q96C00	IID
ZFY	ZFX	P08048	P17010	IID
ZFY	CACNB3	P08048	P54284	IID
ZFY	L3MBTL2	P08048	Q969R5	IID
ZFY	NSD1	P08048	Q96L73	IID
